O,I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
,L,Milivojevic,CRY,M,0.07,23,10,2.3,739,73.0,4.6,0.4
,E,Dier,TOT,M,0.06,25,11,2.3,886,80.0,4.9,3.0
,J,Evans,WBA,D,0.06,18,8,2.3,661,82.0,4.9,0.8
,A,Townsend,CRY,M,0.04,24,11,2.2,945,85.0,5.7,1.0
,J,Allen,STK,M,0.04,22,10,2.2,893,89.0,5.2,1.5
,Y,Cabaye,CRY,M,0.02,19,9,2.1,713,79.0,5.4,0.3
,O,Oriol Romeu,SOU,M,0.02,23,11,2.1,944,85.0,4.4,3.1
,A,Carrillo,WAT,M,0.02,19,9,2.1,591,65.0,5.5,0.0
,K,Gibbs,WBA,D,0.0,16,8,2.0,657,82.0,5.0,0.4
,J,Ibe,BOU,M,0.0,20,10,2.0,513,51.0,4.9,0.5
,J,Defoe,BOU,F,0.0,20,10,2.0,505,50.0,7.6,1.7
,L,Fer,SWA,M,0.0,20,10,2.0,779,77.0,5.4,0.3
,M,Britos,WAT,D,0.0,14,7,2.0,563,80.0,4.5,1.0
,J,Livermore,WBA,M,0.0,20,10,2.0,790,79.0,4.9,0.2
,M,Noble,WHU,M,0.0,14,7,2.0,521,74.0,5.4,0.2
,I,Hayden,NEW,M,0.0,22,11,2.0,714,64.0,4.5,0.4
,M,Keane,EVE,D,-0.02,17,9,1.9,810,90.0,5.3,5.9
,R,van La Parra,HUD,M,-0.02,21,11,1.9,570,51.0,4.8,0.1
,M,Albrighton,LEI,M,-0.02,21,11,1.9,695,63.0,5.5,1.5
,S,Long,SOU,F,-0.02,19,10,1.9,500,50.0,5.8,0.4
,G,Cameron,STK,D,-0.02,13,7,1.9,563,80.0,4.4,0.3
,P,Jagielka,EVE,D,-0.04,14,8,1.8,712,89.0,4.9,3.2
,J,Shelvey,NEW,M,-0.04,14,8,1.8,540,67.0,5.3,0.5
,E,Pieters,STK,D,-0.04,20,11,1.8,988,89.0,4.9,0.6
,G,Sigurdsson,EVE,M,-0.02,18,10,1.8,759,75.0,8.1,2.2
,K,Wimmer,STK,D,-0.05,11,6,1.8,495,82.0,4.4,0.4
,H,Arter,BOU,M,-0.06,12,7,1.7,553,79.0,4.9,0.4
,S,Rondón,WBA,F,-0.05,17,10,1.7,518,51.0,6.0,0.5
,A,Williams,EVE,D,-0.08,14,9,1.6,690,76.0,5.2,2.2
,M,Schneiderlin,EVE,M,-0.08,11,7,1.6,599,85.0,4.8,0.6
,I,Gueye,EVE,M,-0.08,18,11,1.6,919,83.0,4.9,0.9
,A,Adam Smith,BOU,D,-0.1,17,11,1.5,819,74.0,4.8,0.5
,C,Benteke,CRY,F,-0.07,9,6,1.5,521,86.0,7.6,2.0
,J,Puncheon,CRY,M,-0.15,10,8,1.3,549,68.0,4.7,0.5
,T,Fosu-Mensah,CRY,D,-0.16,12,9,1.3,701,77.0,4.5,1.0
,S,Dann,CRY,D,-0.17,12,10,1.2,900,90.0,4.7,0.5
,J,Schlupp,CRY,D,-0.17,11,9,1.2,687,76.0,4.7,0.2
,J,Ward,CRY,D,-0.21,10,10,1.0,854,85.0,4.8,0.2
,P,van Aanholt,CRY,D,-0.22,7,8,0.9,588,73.0,5.1,1.0
,A,Ogbonna,WHU,D,-0.34,3,6,0.5,540,90.0,4.4,0.7
