O,I,web_name        ,team,T,VA/M ,VA/ML,pt,g ,p/g,p/gl,min ,m/g,price,%   ,txn    ,121517
 ,R,Holding         ,ARS ,D,-0.09,0.0  ,8 ,5 ,1.6,2.0 ,263 ,53 ,4.5  ,0.6 ,-323   ,      
 ,A,Adam Smith      ,BOU ,D,-0.04,0.0  ,27,15,1.8,2.0 ,1136,76 ,4.8  ,0.4 ,-246   ,      
 ,J,Schlupp         ,CRY ,D,-0.02,0.0  ,29,15,1.9,2.0 ,1227,82 ,4.7  ,0.3 ,-636   ,      
 ,D,Yedlin          ,NEW ,D,-0.02,0.0  ,25,13,1.9,2.0 ,1085,83 ,4.4  ,0.7 ,-1518  ,      
 ,G,Cameron         ,STK ,D,-0.05,0.0  ,16,9 ,1.8,2.0 ,668 ,74 ,4.3  ,0.3 ,110    ,      
 ,J,Ward            ,CRY ,D,-0.02,-0.02,27,14,1.9,1.9 ,1214,87 ,4.8  ,0.2 ,-1269  ,      
 ,S,Dann            ,CRY ,D,-0.04,-0.04,23,13,1.8,1.8 ,1145,88 ,4.7  ,0.5 ,-372   ,      
 ,A,Mariappa        ,WAT ,D,-0.07,-0.05,22,13,1.7,1.8 ,1001,77 ,4.1  ,6.3 ,7199   ,      
 ,M,Keane           ,EVE ,D,-0.08,-0.08,19,12,1.6,1.6 ,984 ,82 ,5.3  ,5.0 ,-2413  ,      
 ,E,Pieters         ,STK ,D,-0.08,-0.08,27,17,1.6,1.6 ,1528,90 ,4.8  ,0.5 ,-230   ,      
 ,P,Jagielka        ,EVE ,D,-0.13,-0.11,17,12,1.4,1.5 ,904 ,75 ,4.7  ,2.6 ,-1735  ,      
 ,K,Wimmer          ,STK ,D,-0.19,-0.12,13,11,1.2,1.5 ,826 ,75 ,4.3  ,0.3 ,-708   ,      
 ,T,Fosu-Mensah     ,CRY ,D,-0.14,-0.14,15,11,1.4,1.4 ,860 ,78 ,4.4  ,0.8 ,-1382  ,      
 ,F,Lejeune         ,NEW ,D,-0.14,-0.14,15,11,1.4,1.4 ,933 ,85 ,4.4  ,0.2 ,-356   ,      
 ,B,Martins Indi    ,STK ,D,-0.29,-0.2 ,5 ,8 ,0.6,1.0 ,488 ,61 ,4.9  ,0.0 ,-37    ,      
 ,E,Schelotto       ,BHA ,D,-0.3 ,-0.23,4 ,6 ,0.7,1.0 ,178 ,30 ,4.4  ,0.0 ,5      ,      
 ,P,van Aanholt     ,CRY ,D,-0.24,-0.24,7 ,9 ,0.8,0.8 ,611 ,68 ,5.1  ,0.8 ,-466   ,      
 ,L,Rosenior        ,BHA ,D,-0.26,-0.26,3 ,3 ,1.0,1.0 ,163 ,54 ,3.9  ,3.9 ,-2254  ,      
 ,M,Rojo            ,MUN ,D,-0.31,-0.28,1 ,3 ,0.3,0.5 ,225 ,75 ,5.4  ,0.1 ,-1405  ,      
 ,G,McAuley         ,WBA ,D,-0.26,-0.28,4 ,5 ,0.8,0.7 ,258 ,52 ,4.7  ,0.5 ,-630   ,      
 ,D,Rice            ,WHU ,D,-0.3 ,-0.34,5 ,7 ,0.7,0.5 ,267 ,38 ,4.4  ,0.0 ,-17    ,      
 ,M,Cranie          ,HUD ,D,-0.33,-0.38,2 ,3 ,0.7,0.5 ,179 ,60 ,4.0  ,0.4 ,-251   ,      
