O,I,web_name     ,team,T,VA/M ,VA/ML,pt ,g ,p/g,p/gl,min ,m/g,price,%   ,txn    ,121213
 ,A,Carrillo     ,WAT ,M,0.0  ,0.11 ,28 ,14,2.0,2.6 ,731 ,52 ,5.5  ,0.0 ,-3     ,      
 ,L,Lewis Cook   ,BOU ,M,-0.02,0.07 ,17 ,9 ,1.9,2.3 ,553 ,61 ,4.4  ,0.9 ,222    ,      
 ,J,Hogg         ,HUD ,M,-0.02,0.05 ,19 ,10,1.9,2.2 ,735 ,74 ,4.4  ,0.4 ,-453   ,      
 ,R,Sobhi        ,STK ,M,-0.02,0.04 ,19 ,10,1.9,2.2 ,516 ,52 ,4.6  ,0.4 ,-811   ,      
 ,L,Fer          ,SWA ,M,-0.02,0.04 ,26 ,14,1.9,2.2 ,996 ,71 ,5.3  ,0.2 ,-376   ,      
 ,M,Dembélé      ,TOT ,M,-0.02,0.08 ,21 ,11,1.9,2.4 ,699 ,64 ,4.9  ,1.6 ,-606   ,      
 ,M,Pugh         ,BOU ,M,-0.04,0.06 ,18 ,10,1.8,2.3 ,596 ,60 ,4.8  ,0.1 ,-123   ,      
 ,I,Gueye        ,EVE ,M,-0.04,-0.04,29 ,16,1.8,1.8 ,1369,86 ,4.8  ,0.9 ,-124   ,      
 ,S,Ki Sung-yueng,SWA ,M,-0.04,0.04 ,16 ,9 ,1.8,2.2 ,622 ,69 ,4.9  ,0.0 ,5      ,      
 ,I,Hayden       ,NEW ,M,-0.04,0.02 ,27 ,15,1.8,2.1 ,1001,67 ,4.5  ,0.3 ,-280   ,      
 ,R,van La Parra ,HUD ,M,-0.06,0.08 ,22 ,13,1.7,2.4 ,750 ,58 ,4.8  ,0.1 ,-70    ,      
 ,P,Billing      ,HUD ,M,-0.07,0.04 ,12 ,7 ,1.7,2.2 ,420 ,60 ,4.5  ,0.3 ,-379   ,      
 ,M,Arnautovic   ,WHU ,M,-0.04,0.09 ,20 ,12,1.7,2.6 ,657 ,55 ,6.8  ,0.5 ,2099   ,      
 ,R,Mesa         ,SWA ,M,-0.07,0.0  ,10 ,6 ,1.7,2.0 ,376 ,63 ,4.3  ,0.6 ,405    ,      
 ,R,Sanches      ,SWA ,M,-0.07,0.04 ,15 ,9 ,1.7,2.2 ,507 ,56 ,4.6  ,0.4 ,-1514  ,      
 ,D,Gosling      ,BOU ,M,-0.08,0.0  ,11 ,7 ,1.6,2.0 ,367 ,52 ,4.8  ,0.1 ,-47    ,      
 ,T,Davies       ,EVE ,M,-0.08,-0.04,24 ,15,1.6,1.8 ,772 ,51 ,5.2  ,0.4 ,-315   ,      
 ,J,Shelvey      ,NEW ,M,-0.08,0.08 ,19 ,12,1.6,2.4 ,745 ,62 ,5.2  ,0.4 ,-847   ,      
 ,M,Schneiderlin ,EVE ,M,-0.13,-0.09,15 ,11,1.4,1.6 ,803 ,73 ,4.7  ,0.5 ,-226   ,      
 ,D,Williams     ,HUD ,M,-0.14,-0.04,15 ,12,1.3,1.8 ,610 ,51 ,4.9  ,0.0 ,-40    ,      
 ,E,Fernandes    ,WHU ,M,-0.16,-0.07,9  ,7 ,1.3,1.7 ,412 ,59 ,4.4  ,0.2 ,-231   ,      
 ,J,Puncheon     ,CRY ,M,-0.18,-0.16,11 ,9 ,1.2,1.3 ,554 ,62 ,4.5  ,0.4 ,-472   ,      
