O,I,web_name        ,team,T,VA/M ,VA/ML,pt,g ,p/g,p/gl,min ,m/g,price,%   ,txn   ,121213
 ,A,Cresswell       ,WHU ,D,0.18 ,0.2  ,43,15,2.9,3.0 ,1224,82 ,5.0  ,0.7 ,1866  ,      
 ,C,Mbemba          ,NEW ,D,0.1  ,0.2  ,17,7 ,2.4,2.8 ,588 ,84 ,4.0  ,11.1,-13197,      
 ,N,Aké             ,BOU ,D,0.18 ,0.18 ,46,16,2.9,2.9 ,1432,90 ,4.9  ,4.0 ,-7785 ,      
 ,J,Holebas         ,WAT ,D,0.12 ,0.18 ,31,12,2.6,2.9 ,950 ,79 ,4.9  ,0.5 ,139   ,      
 ,C,Cédric          ,SOU ,D,0.17 ,0.17 ,39,14,2.8,2.8 ,1248,89 ,4.8  ,4.1 ,-21060,      
 ,L,Baines          ,EVE ,D,0.14 ,0.16 ,36,13,2.8,2.9 ,1099,85 ,5.7  ,3.8 ,-7681 ,      
 ,C,Martina         ,EVE ,D,0.09 ,0.16 ,19,8 ,2.4,2.7 ,660 ,82 ,4.3  ,0.4 ,1426  ,      
 ,T,Smith           ,HUD ,D,0.1  ,0.15 ,32,13,2.5,2.7 ,1114,86 ,4.8  ,0.3 ,-41   ,      
 ,R,Shawcross       ,STK ,D,0.15 ,0.15 ,30,11,2.7,2.7 ,990 ,90 ,4.8  ,0.9 ,1579  ,      
 ,J,Kenny           ,EVE ,D,0.09 ,0.14 ,22,9 ,2.4,2.6 ,734 ,82 ,4.3  ,1.6 ,37797 ,      
 ,W,Reid            ,WHU ,D,0.13 ,0.13 ,31,12,2.6,2.6 ,1066,89 ,4.8  ,0.7 ,398   ,      
 ,V,Kompany         ,MCI ,D,0.07 ,0.12 ,17,7 ,2.4,2.7 ,574 ,82 ,5.8  ,2.1 ,-7978 ,      
 ,V,Lindelöf        ,MUN ,D,0.02 ,0.12 ,15,7 ,2.1,2.6 ,473 ,68 ,4.9  ,1.3 ,4778  ,      
 ,D,Simpson         ,LEI ,D,0.11 ,0.11 ,40,16,2.5,2.5 ,1423,89 ,4.5  ,4.0 ,780   ,      
 ,S,Francis         ,BOU ,D,-0.05,0.09 ,24,13,1.8,2.4 ,1072,82 ,4.4  ,1.1 ,-3039 ,      
 ,G,Bong            ,BHA ,D,0.09 ,0.09 ,17,7 ,2.4,2.4 ,630 ,90 ,4.4  ,0.1 ,-290  ,      
 ,W,Morgan          ,LEI ,D,0.09 ,0.09 ,39,16,2.4,2.4 ,1440,90 ,4.5  ,3.0 ,511   ,      
 ,J,Manquillo       ,NEW ,D,0.09 ,0.09 ,31,13,2.4,2.4 ,1170,90 ,4.4  ,1.3 ,-1055 ,      
 ,K,Gibbs           ,WBA ,D,0.06 ,0.08 ,30,13,2.3,2.4 ,1096,84 ,5.0  ,0.4 ,-770  ,      
 ,P,Zabaleta        ,WHU ,D,0.08 ,0.08 ,36,15,2.4,2.4 ,1321,88 ,4.9  ,1.6 ,2461  ,      
 ,K,Zouma           ,STK ,D,0.07 ,0.07 ,36,15,2.4,2.4 ,1350,90 ,5.5  ,2.3 ,-2267 ,      
 ,V,van Dijk        ,SOU ,D,0.06 ,0.07 ,25,11,2.3,2.4 ,903 ,82 ,5.4  ,2.0 ,162   ,      
 ,L,Dunk            ,BHA ,D,0.05 ,0.05 ,35,16,2.2,2.2 ,1440,90 ,4.4  ,2.6 ,-2600 ,      
 ,J,Ward            ,CRY ,D,-0.02,0.02 ,27,14,1.9,2.1 ,1214,87 ,4.8  ,0.3 ,-1666 ,      
 ,J,Evans           ,WBA ,D,0.0  ,0.02 ,26,13,2.0,2.1 ,1111,85 ,4.9  ,0.7 ,-1422 ,      
 ,W,Hoedt           ,SOU ,D,0.02 ,0.02 ,17,8 ,2.1,2.1 ,720 ,90 ,5.0  ,0.0 ,-59   ,      
 ,A,Adam Smith      ,BOU ,D,-0.04,0.0  ,25,14,1.8,2.0 ,1046,75 ,4.8  ,0.4 ,-438  ,      
 ,J,Tomkins         ,CRY ,D,-0.07,0.0  ,12,7 ,1.7,2.0 ,502 ,72 ,4.3  ,0.4 ,-116  ,      
 ,J,Schlupp         ,CRY ,D,-0.02,0.0  ,27,14,1.9,2.0 ,1137,81 ,4.7  ,0.3 ,675   ,      
 ,T,Alexander-Arnold,LIV ,D,0.0  ,0.0  ,10,5 ,2.0,2.0 ,450 ,90 ,4.2  ,1.2 ,398   ,      
 ,D,Yedlin          ,NEW ,D,-0.02,0.0  ,23,12,1.9,2.0 ,995 ,83 ,4.4  ,0.7 ,-1092 ,      
 ,G,Cameron         ,STK ,D,-0.05,0.0  ,14,8 ,1.8,2.0 ,578 ,72 ,4.3  ,0.3 ,-37   ,      
 ,A,Ogbonna         ,WHU ,D,0.0  ,0.0  ,22,11,2.0,2.0 ,990 ,90 ,4.3  ,1.1 ,18570 ,      
 ,A,Mariappa        ,WAT ,D,-0.05,-0.02,21,12,1.8,1.9 ,911 ,76 ,4.1  ,6.1 ,20606 ,      
 ,S,Aurier          ,TOT ,D,-0.05,-0.03,10,6 ,1.7,1.8 ,456 ,76 ,5.9  ,0.3 ,-769  ,      
 ,S,Dann            ,CRY ,D,-0.04,-0.04,21,12,1.8,1.8 ,1055,88 ,4.7  ,0.5 ,3123  ,      
 ,A,Masuaku         ,WHU ,D,-0.05,-0.05,20,11,1.8,1.8 ,621 ,56 ,4.4  ,0.4 ,8087  ,      
 ,M,Keane           ,EVE ,D,-0.08,-0.08,19,12,1.6,1.6 ,984 ,82 ,5.3  ,5.0 ,-3084 ,      
 ,E,Pieters         ,STK ,D,-0.08,-0.08,25,16,1.6,1.6 ,1438,90 ,4.8  ,0.5 ,-661  ,      
 ,P,Jagielka        ,EVE ,D,-0.11,-0.11,16,11,1.5,1.5 ,899 ,82 ,4.7  ,2.7 ,-2193 ,      
 ,K,Wimmer          ,STK ,D,-0.19,-0.12,12,10,1.2,1.5 ,802 ,80 ,4.3  ,0.4 ,-847  ,      
 ,T,Fosu-Mensah     ,CRY ,D,-0.16,-0.16,13,10,1.3,1.3 ,791 ,79 ,4.4  ,0.9 ,-432  ,      
 ,F,Lejeune         ,NEW ,D,-0.16,-0.16,13,10,1.3,1.3 ,843 ,84 ,4.4  ,0.2 ,-349  ,      
 ,B,Martins Indi    ,STK ,D,-0.29,-0.2 ,5 ,8 ,0.6,1.0 ,488 ,61 ,4.9  ,0.0 ,-48   ,      
 ,P,van Aanholt     ,CRY ,D,-0.22,-0.24,7 ,8 ,0.9,0.8 ,588 ,74 ,5.1  ,0.8 ,-686  ,      
