O,I,web_name     ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn    ,013013
 ,M,Keane        ,EVE ,D,0.04 ,0.06 ,2.2,2.3 ,0.3 ,1344,5.3  ,4.5 ,-2267  ,      
 ,T,Cleverley    ,WAT ,M,0.1  ,0.12 ,2.5,2.6 ,0.7 ,1829,5.0  ,0.5 ,-2412  ,      
 ,I,Gündogan     ,MCI ,M,0.13 ,0.83 ,2.7,6.4 ,4.3 ,560 ,5.3  ,0.8 ,-2470  ,      
 ,D,Sánchez      ,TOT ,D,0.15 ,0.17 ,2.9,3.0 ,2.0 ,1460,6.0  ,0.5 ,-2493  ,      
 ,G,Sigurdsson   ,EVE ,M,0.16 ,0.19 ,3.3,3.5 ,1.3 ,1833,8.0  ,2.0 ,-2573  ,      
 ,J,Cork         ,BUR ,M,0.15 ,0.15 ,2.7,2.7 ,2.0 ,2160,4.6  ,3.1 ,-2779  ,      
 ,S,Mignolet     ,LIV ,G,0.31 ,0.31 ,3.5,3.5 ,1.0 ,1710,4.9  ,1.3 ,-2789  ,      
 ,C,Atsu         ,NEW ,M,0.29 ,0.38 ,3.4,3.8 ,2.3 ,1497,4.8  ,2.0 ,-3028  ,      
 ,C,Azpilicueta  ,CHE ,D,0.5  ,0.5  ,5.5,5.5 ,4.7 ,2070,7.0  ,22.9,-3240  ,      
 ,C,Fuchs        ,LEI ,D,0.17 ,0.23 ,2.8,3.1 ,2.3 ,1368,4.8  ,2.0 ,-3281  ,      
 ,H,Bellerín     ,ARS ,D,0.33 ,0.33 ,4.0,4.0 ,6.0 ,2160,6.1  ,13.1,-3618  ,      
 ,A,Gray         ,WAT ,F,0.11 ,0.33 ,2.7,4.1 ,4.7 ,1222,6.3  ,1.9 ,-3650  ,      
 ,C,Martina      ,EVE ,D,0.14 ,0.18 ,2.6,2.8 ,1.0 ,1380,4.4  ,1.9 ,-3784  ,      
 ,N,Aké          ,BOU ,D,0.12 ,0.14 ,2.6,2.7 ,1.7 ,2092,4.9  ,3.9 ,-3841  ,      
 ,S,Davis        ,SOU ,M,0.29 ,0.4  ,3.4,3.9 ,2.3 ,1383,4.8  ,2.2 ,-3894  ,      
 ,A,Begovic      ,BOU ,G,0.24 ,0.24 ,3.1,3.1 ,2.3 ,2160,4.5  ,3.9 ,-4204  ,      
 ,R,Bertrand     ,SOU ,D,0.19 ,0.19 ,3.0,3.0 ,2.3 ,1885,5.3  ,4.7 ,-4380  ,      
 ,J,Mata         ,MUN ,M,0.31 ,0.38 ,4.1,4.6 ,3.0 ,1327,6.8  ,2.3 ,-4657  ,      
 ,M,Yoshida      ,SOU ,D,0.36 ,0.38 ,3.7,3.8 ,0.3 ,1534,4.7  ,2.9 ,-4715  ,      
 ,P,Obiang       ,WHU ,M,0.14 ,0.25 ,2.6,3.1 ,3.8 ,1558,4.4  ,1.6 ,-4781  ,      
 ,M,Ritchie      ,NEW ,M,0.24 ,0.26 ,3.3,3.4 ,1.7 ,1823,5.4  ,1.8 ,-4954  ,      
 ,C,Fàbregas     ,CHE ,M,0.13 ,0.21 ,2.9,3.4 ,0.7 ,1402,6.8  ,2.9 ,-5120  ,      
 ,L,Dunk         ,BHA ,D,0.11 ,0.11 ,2.5,2.5 ,0.7 ,2160,4.5  ,3.7 ,-5324  ,      
 ,F,Fernandinho  ,MCI ,M,0.24 ,0.25 ,3.2,3.3 ,2.0 ,1991,5.1  ,5.8 ,-5417  ,      
 ,A,Williams     ,EVE ,D,0.15 ,0.23 ,2.8,3.2 ,1.0 ,1518,5.2  ,2.6 ,-5643  ,      
 ,S,Duffy        ,BHA ,D,0.2  ,0.2  ,2.9,2.9 ,0.7 ,2052,4.6  ,4.0 ,-6452  ,      
 ,D,Lovren       ,LIV ,D,0.26 ,0.36 ,3.4,3.9 ,2.7 ,1385,5.3  ,1.1 ,-6488  ,      
x,R,Firmino      ,LIV ,F,0.35 ,0.41 ,5.2,5.8 ,3.7 ,1685,9.2  ,40.1,-7462  ,      
 ,J,Pickford     ,EVE ,G,0.39 ,0.39 ,3.9,3.9 ,2.3 ,2160,4.9  ,8.3 ,-8195  ,      
 ,C,Kabasele     ,WAT ,D,0.07 ,0.09 ,2.3,2.4 ,0.3 ,1949,4.6  ,1.5 ,-8213  ,      
 ,N,Matic        ,MUN ,M,0.1  ,0.1  ,2.5,2.5 ,2.7 ,2123,4.8  ,8.4 ,-8369  ,      
 ,W,Morgan       ,LEI ,D,0.0  ,0.02 ,2.0,2.1 ,0.0 ,1917,4.4  ,1.9 ,-8433  ,      
 ,A,Carroll      ,WHU ,F,0.02 ,0.17 ,2.1,3.0 ,3.0 ,695 ,5.8  ,0.4 ,-9162  ,      
 ,G,Murray       ,BHA ,F,0.14 ,0.33 ,2.8,3.9 ,3.7 ,1255,5.7  ,2.1 ,-9508  ,      
 ,B,Davies       ,TOT ,D,0.53 ,0.65 ,4.9,5.6 ,5.5 ,1423,5.5  ,13.8,-9831  ,      
 ,C,Daniels      ,BOU ,D,0.21 ,0.21 ,3.0,3.0 ,1.7 ,1827,4.7  ,5.8 ,-10127 ,      
x,A,Ogbonna      ,WHU ,D,0.07 ,0.07 ,2.3,2.3 ,1.8 ,1710,4.5  ,5.9 ,-10855 ,      
 ,S,Aurier       ,TOT ,D,0.34 ,0.39 ,4.0,4.3 ,3.5 ,977 ,5.9  ,0.7 ,-10903 ,      
 ,J,Evans        ,WBA ,D,0.2  ,0.22 ,3.0,3.1 ,6.0 ,1813,4.9  ,1.6 ,-11544 ,      
 ,F,Forster      ,SOU ,G,0.33 ,0.33 ,3.6,3.6 ,0.0 ,1800,4.8  ,4.7 ,-11623 ,      
 ,S,Kolasinac    ,ARS ,D,0.41 ,0.47 ,4.4,4.8 ,0.3 ,1431,5.9  ,6.9 ,-12139 ,      
 ,C,Schindler    ,HUD ,D,0.2  ,0.2  ,2.9,2.9 ,0.7 ,2036,4.6  ,3.5 ,-12572 ,      
 ,H,Gomes        ,WAT ,G,0.16 ,0.16 ,2.7,2.7 ,1.0 ,2038,4.5  ,1.8 ,-12805 ,      
 ,K,Walker       ,MCI ,D,0.33 ,0.38 ,4.2,4.5 ,2.3 ,1933,6.6  ,12.6,-13720 ,      
 ,L,Shaw         ,MUN ,D,0.61 ,0.61 ,5.0,5.0 ,4.0 ,442 ,4.9  ,1.2 ,-13936 ,      
 ,A,Cresswell    ,WHU ,D,0.24 ,0.27 ,3.2,3.4 ,2.5 ,1839,5.1  ,3.7 ,-14310 ,      
 ,P,Groß         ,BHA ,M,0.41 ,0.47 ,4.4,4.7 ,2.0 ,1817,5.8  ,15.0,-18351 ,      
 ,A,Mooy         ,HUD ,M,0.28 ,0.3  ,3.5,3.6 ,3.0 ,2068,5.4  ,6.2 ,-18368 ,      
 ,J,Lössl        ,HUD ,G,0.35 ,0.35 ,3.6,3.6 ,1.0 ,2160,4.6  ,7.4 ,-19201 ,      
 ,T,Abraham      ,SWA ,F,0.22 ,0.24 ,3.2,3.3 ,0.0 ,1390,5.5  ,4.0 ,-21218 ,      
 ,A,Surman       ,BOU ,M,0.41 ,0.41 ,3.9,3.9 ,0.0 ,1530,4.6  ,4.6 ,-21305 ,      
 ,J,Kenny        ,EVE ,D,0.2  ,0.24 ,2.9,3.1 ,0.7 ,1364,4.5  ,5.3 ,-21835 ,      
x,A,Christensen  ,CHE ,D,0.25 ,0.31 ,3.4,3.7 ,1.0 ,1337,5.5  ,3.8 ,-24580 ,      
 ,M,Zanka        ,HUD ,D,0.17 ,0.17 ,2.8,2.8 ,0.7 ,2160,4.6  ,6.8 ,-26415 ,      
 ,H,Lloris       ,TOT ,G,0.33 ,0.33 ,3.8,3.8 ,3.5 ,1980,5.4  ,8.1 ,-28475 ,      
 ,R,Elliot       ,NEW ,G,0.39 ,0.39 ,3.6,3.6 ,0.0 ,1440,4.1  ,19.5,-31898 ,      
 ,R,Klavan       ,LIV ,D,0.48 ,0.59 ,4.1,4.6 ,4.0 ,1172,4.4  ,2.6 ,-33062 ,      
 ,S,Ward         ,BUR ,D,0.53 ,0.57 ,4.5,4.7 ,0.0 ,1470,4.7  ,6.8 ,-37032 ,      
 ,J,Vertonghen   ,TOT ,D,0.25 ,0.25 ,3.5,3.5 ,4.3 ,2129,6.0  ,8.8 ,-37482 ,      
 ,M,Rashford     ,MUN ,F,0.13 ,0.23 ,3.0,3.7 ,1.0 ,1302,7.5  ,6.5 ,-37605 ,      
 ,R,Lukaku       ,MUN ,F,0.24 ,0.26 ,4.7,4.9 ,3.3 ,1993,11.3 ,21.2,-38511 ,      
 ,A,Masuaku      ,WHU ,D,0.02 ,0.02 ,2.1,2.1 ,1.5 ,1323,4.5  ,1.6 ,-42778 ,      
 ,R,Richarlison  ,WAT ,M,0.37 ,0.37 ,4.3,4.3 ,2.0 ,2072,6.3  ,12.2,-43486 ,      
 ,R,Loftus-Cheek ,CRY ,M,0.29 ,0.33 ,3.3,3.5 ,0.0 ,1329,4.5  ,4.1 ,-47146 ,      
 ,B,Alli         ,TOT ,M,0.31 ,0.33 ,4.8,5.0 ,4.5 ,1924,9.0  ,12.9,-54534 ,      
