W,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,110222
,P,van Aanholt,CRY,D,0.33,0.33,3.8,3.8,1.0,900,5.4,4.0,-14971,-6,
,A,Lennon,BUR,M,0.24,0.24,3.2,3.2,1.3,788,5.0,1.2,-15455,-22,
,J,Gomez,LIV,D,0.45,0.55,4.3,4.8,4.0,755,5.1,3.9,-17407,-8,
,J,Vertonghen,TOT,D,0.24,0.31,3.4,3.8,0.0,585,5.9,4.8,-17619,-6,
,J,Seri,FUL,M,0.28,0.28,3.5,3.5,2.7,805,5.4,3.0,-18951,-11,
,J,Gudmundsson,BUR,M,0.45,0.52,4.7,5.1,3.3,734,6.0,3.1,-19399,-11,
,N,Etheridge,CAR,G,0.39,0.39,3.8,3.8,1.3,900,4.6,6.2,-20149,-6,
,J,Tarkowski,BUR,D,0.2,0.24,3.0,3.2,0.3,836,4.9,6.1,-20261,-6,
,R,Jiménez,WOL,F,0.32,0.32,3.8,3.8,2.7,805,5.7,7.4,-21148,-5,
m,A,Schürrle,FUL,M,0.28,0.33,3.7,4.0,5.0,776,6.0,5.8,-22012,-7,
,N,Monreal,ARS,D,0.42,0.42,4.3,4.3,1.7,630,5.5,1.6,-24069,-26,
,R,Patrício,WOL,G,0.52,0.52,4.4,4.4,4.0,900,4.6,10.3,-24910,-4,
,A,Ramsey,ARS,M,0.18,0.18,3.3,3.3,4.0,520,7.4,1.6,-28579,-31,
,W,Zaha,CRY,F,0.29,0.29,4.0,4.0,3.0,810,6.8,16.0,-29035,-3,
,J,Milner,LIV,M,0.23,0.41,3.3,4.3,1.7,679,5.6,4.1,-29429,-12,
,A,Knockaert,BHA,M,0.24,0.33,3.3,3.8,1.0,686,5.5,1.4,-29552,-36,
,D,De Gea,MUN,G,0.14,0.14,2.8,2.8,2.7,900,5.8,16.9,-30264,-3,
,W,Hennessey,CRY,G,0.46,0.46,4.1,4.1,1.3,900,4.6,6.5,-30761,-8,
,D,Ings,SOU,F,0.29,0.34,3.6,3.9,1.7,700,5.6,5.2,-31070,-10,
,J,Moutinho,WOL,M,0.27,0.27,3.5,3.5,2.0,883,5.5,3.7,-31712,-15,
,R,Lukaku,MUN,F,0.17,0.23,3.8,4.5,1.7,768,10.8,5.7,-32386,-10,
,T,Deeney,WAT,F,0.31,0.31,3.8,3.8,0.7,718,5.9,3.2,-34345,-18,
,A,Alisson,LIV,G,0.47,0.47,4.7,4.7,4.7,900,5.7,19.9,-36491,-3,
,J,Jorginho,CHE,M,0.22,0.22,3.1,3.1,2.7,887,5.0,10.0,-37732,-6,
o,A,Wan-Bissaka,CRY,D,0.4,0.4,3.7,3.7,1.3,794,4.3,28.2,-39774,-2,
,J,Holebas,WAT,D,0.5,0.5,4.4,4.4,-0.3,713,4.8,13.0,-40038,-5,
,P,Højbjerg,SOU,M,0.38,0.38,3.7,3.7,1.3,616,4.5,4.9,-41321,-14,
,T,Walcott,EVE,M,0.31,0.31,4.0,4.0,2.3,805,6.4,5.8,-41473,-12,
,M,Özil,ARS,M,0.4,0.4,5.4,5.4,4.7,656,8.4,6.1,-45310,-13,
o,A,Robertson,LIV,D,0.67,0.67,6.3,6.3,4.7,810,6.4,29.8,-49267,-3,
,T,Alexander-Arnold,LIV,D,0.55,0.55,4.8,4.8,0.7,715,5.1,17.7,-50713,-5,
,H,Kane,TOT,F,0.23,0.23,4.9,4.9,1.7,891,12.4,24.2,-56164,-4,
,J,King,BOU,F,0.45,0.45,4.9,4.9,5.0,779,6.4,3.7,-72312,-34,
,H,Bellerín,ARS,D,0.3,0.35,3.6,3.9,4.3,855,5.4,10.2,-85163,-14,
o,J,Maddison,LEI,M,0.37,0.37,4.6,4.6,2.0,803,7.0,17.0,-95807,-10,
,R,Neves,WOL,M,0.22,0.22,3.1,3.1,2.0,900,5.0,17.8,-100502,-10,
,R,Firmino,LIV,F,0.18,0.22,3.7,4.0,1.7,745,9.3,19.8,-104440,-9,
m,A,Lacazette,ARS,F,0.33,0.47,5.2,6.6,5.3,715,9.7,13.5,-110880,-14,
,A,Mitrovic,FUL,F,0.41,0.41,4.8,4.8,2.7,900,6.8,24.7,-111268,-8,
,L,Lucas Moura,TOT,M,0.33,0.33,4.4,4.4,2.3,854,7.2,14.0,-141601,-17,
o,E,Hazard,CHE,M,0.56,0.67,8.3,9.6,5.0,666,11.3,43.9,-169558,-7,
