W,I,web_name        ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn   ,gf ,030620
 ,F,Hadergjonaj     ,HUD ,D,4.3 ,69 ,0.05 ,0.09 ,2.2,2.4 ,0.5 ,0.1 ,-21   ,0  ,      
 ,H,Arter           ,CAR ,M,4.9 ,70 ,-0.04,-0.02,1.8,1.9 ,1.0 ,0.2 ,-25   ,0  ,      
 ,K,Zouma           ,EVE ,D,5.0 ,75 ,0.16 ,0.22 ,2.8,3.1 ,1.3 ,0.5 ,-36   ,0  ,      
 ,D,Odoi            ,FUL ,D,4.4 ,95 ,-0.16,-0.16,1.3,1.3 ,1.0 ,0.1 ,-42   ,-1 ,      
 ,J,Pickford        ,EVE ,G,4.9 ,104,0.37 ,0.37 ,3.8,3.8 ,4.0 ,12.5,-49   ,0  ,      
 ,T,Kongolo         ,HUD ,D,4.3 ,79 ,0.02 ,0.05 ,2.1,2.2 ,2.5 ,0.2 ,-63   ,-1 ,      
 ,J,Vestergaard     ,SOU ,D,4.6 ,70 ,0.07 ,0.04 ,2.3,2.2 ,2.5 ,0.3 ,-74   ,0  ,      
 ,M,Montoya         ,BHA ,D,4.3 ,71 ,-0.02,0.0  ,1.9,2.0 ,2.3 ,0.2 ,-89   ,-1 ,      
 ,E,Capoue          ,WAT ,M,4.8 ,89 ,0.15 ,0.15 ,2.7,2.7 ,2.8 ,0.5 ,-96   ,0  ,      
 ,A,Mooy            ,HUD ,M,5.0 ,67 ,0.1  ,0.16 ,2.5,2.8 ,1.3 ,1.0 ,-107  ,0  ,      
 ,J,Bennett         ,CAR ,D,4.4 ,74 ,0.14 ,0.14 ,2.6,2.6 ,1.0 ,0.4 ,-111  ,0  ,      
 ,S,Morrison        ,CAR ,D,4.7 ,88 ,0.13 ,0.13 ,2.6,2.6 ,0.3 ,0.3 ,-126  ,-1 ,      
 ,J,Lerma           ,BOU ,M,4.5 ,69 ,0.02 ,-0.02,2.1,1.9 ,0.8 ,0.2 ,-129  ,-1 ,      
 ,W,Hughes          ,WAT ,M,4.9 ,70 ,0.1  ,0.22 ,2.5,3.1 ,3.8 ,0.5 ,-145  ,0  ,      
 ,S,Rico            ,FUL ,G,4.4 ,71 ,0.11 ,0.14 ,2.5,2.6 ,1.8 ,0.4 ,-201  ,-1 ,      
 ,N,Mendy           ,LEI ,M,4.5 ,80 ,0.02 ,0.04 ,2.1,2.2 ,0.5 ,1.0 ,-247  ,0  ,      
 ,H,Maguire         ,LEI ,D,5.4 ,81 ,0.2  ,0.24 ,3.1,3.3 ,1.0 ,9.0 ,-266  ,0  ,      
 ,J,Hogg            ,HUD ,M,4.4 ,71 ,0.0  ,0.05 ,2.0,2.2 ,1.8 ,0.3 ,-297  ,-2 ,      
 ,C,Taylor          ,BUR ,D,4.4 ,96 ,0.0  ,0.02 ,2.0,2.1 ,1.5 ,0.4 ,-353  ,-1 ,      
 ,J,Cork            ,BUR ,M,4.6 ,99 ,0.09 ,0.09 ,2.4,2.4 ,2.0 ,0.6 ,-377  ,-1 ,      
 ,D,Stephens        ,BHA ,M,4.4 ,66 ,0.0  ,0.09 ,2.0,2.4 ,2.3 ,3.0 ,-390  ,0  ,      
 ,M,Guendouzi       ,ARS ,M,4.4 ,67 ,-0.11,-0.05,1.5,1.8 ,1.3 ,1.9 ,-414  ,0  ,      
 ,G,Xhaka           ,ARS ,M,5.2 ,82 ,0.17 ,0.19 ,2.9,3.0 ,1.0 ,2.3 ,-428  ,0  ,      
 ,M,Dubravka        ,NEW ,G,5.0 ,104,0.32 ,0.32 ,3.6,3.6 ,4.0 ,0.9 ,-437  ,-1 ,      
 ,S,Mustafi         ,ARS ,D,5.4 ,79 ,0.09 ,0.13 ,2.5,2.7 ,2.5 ,1.0 ,-447  ,-1 ,      
