W,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,082720
,F,Ayité,FUL,M,-0.45,-0.45,0.0,0.0,0.0,0,4.4,0.1,-276,-5,
,N,Kebano,FUL,M,-0.45,-0.45,0.0,0.0,0.0,0,4.4,0.1,274,5,
,R,Fonte,FUL,M,-0.45,-0.45,0.0,0.0,0.0,0,4.4,0.4,752,3,
,I,Cissé,FUL,M,-0.44,-0.44,0.0,0.0,0.0,0,4.5,0.1,-100,-2,
,T,Ince,HUD,M,-0.4,-0.4,0.0,0.0,0.0,0,5.0,0.0,-26,0.0,
,D,Williams,HUD,M,-0.44,-0.44,0.0,0.0,0.0,0,4.5,0.0,22,0.0,
,A,Sabiri,HUD,M,-0.22,-0.44,1.0,0.0,0.3,45,4.5,0.1,-108,-2,
,R,Sobhi,HUD,M,-0.21,-0.42,1.0,0.0,0.3,6,4.8,0.2,-1181,-11,
,J,Bacuna,HUD,M,-0.44,-0.44,0.0,0.0,0.0,0,4.5,0.1,-248,-5,
,I,Mbenza,HUD,M,-0.17,-0.33,1.0,0.0,0.3,22,6.0,0.0,-22,0.0,
,V,Iborra,LEI,M,-0.2,-0.41,1.0,0.0,0.3,10,4.9,0.1,-178,-3,
,M,James,LEI,M,-0.44,-0.44,0.0,0.0,0.0,0,4.5,0.0,-37,0.0,
,H,Choudhury,LEI,M,-0.44,-0.44,0.0,0.0,0.0,0,4.5,0.1,-145,-3,
,F,Diabaté,LEI,M,-0.41,-0.41,0.0,0.0,0.0,0,4.9,0.0,-123,0.0,
,R,Ghezzal,LEI,M,-0.19,-0.37,1.0,0.0,0.7,39,5.4,0.1,-613,-11,
,A,Chamberlain,LIV,M,-0.31,-0.31,0.0,0.0,0.0,0,6.5,0.0,-51,0.0,
,J,Henderson,LIV,M,-0.19,-0.37,1.0,0.0,1.0,67,5.4,1.0,-2668,-5,
,A,Lallana,LIV,M,-0.14,-0.29,1.0,0.0,0.3,3,6.9,1.1,-2073,-3,
,F,Fabinho,LIV,M,-0.34,-0.34,0.0,0.0,0.0,0,5.8,0.7,-3329,-9,
,X,Shaqiri,LIV,M,-0.14,-0.27,1.0,0.0,0.3,8,7.3,3.2,-23840,-14,
,K,De Bruyne,MCI,M,-0.2,-0.2,0.0,0.0,0.0,30,9.8,4.7,-26958,-11,
,L,Sané,MCI,M,0.0,-0.21,2.0,0.0,2.0,30,9.4,6.7,-55935,-16,
,P,Foden,MCI,M,-0.2,-0.41,1.0,0.0,0.3,8,4.9,0.2,-791,-7,
,B,Diaz,MCI,M,-0.41,-0.41,0.0,0.0,0.0,0,4.9,0.1,-142,-3,
,O,Zinchenko,MCI,M,-0.41,-0.41,0.0,0.0,0.0,0,4.9,0.0,-96,0.0,
,N,Matic,MUN,M,0.0,-0.4,2.0,0.0,0.7,60,5.0,0.6,-899,-3,
,M,Fellaini,MUN,M,0.0,-0.4,2.0,0.0,2.0,65,5.0,0.7,-764,-2,
,A,Herrera,MUN,M,-0.4,-0.4,0.0,0.0,0.0,54,5.0,0.1,24,0,
,J,Lingard,MUN,M,-0.07,-0.29,1.5,0.0,1.0,135,6.9,3.4,-2946,-2,
,A,Martial,MUN,M,-0.27,-0.27,0.0,0.0,0.0,59,7.3,0.5,-1262,-5,
,S,McTominay,MUN,M,-0.22,-0.44,1.0,0.0,0.3,14,4.5,0.7,-1283,-3,
,C,Atsu,NEW,M,-0.19,-0.37,1.0,0.0,0.3,21,5.4,0.1,-435,-8,
,M,Merino,NEW,M,-0.4,-0.4,0.0,0.0,0.0,0,5.0,0.0,-6,0.0,
,I,Hayden,NEW,M,-0.89,-0.44,-2.0,0.0,-0.7,20,4.5,0.2,-432,-4,
,S,Longstaff,NEW,M,-0.44,-0.44,0.0,0.0,0.0,0,4.5,0.0,28,0.0,
,S,Davis,SOU,M,-0.41,-0.41,0.0,0.0,0.0,0,4.9,0.1,-308,-6,
,S,Boufal,SOU,M,-0.36,-0.36,0.0,0.0,0.0,0,5.5,0.0,-17,0.0,
,J,Sims,SOU,M,-0.44,-0.44,0.0,0.0,0.0,0,4.5,0.1,-348,-6,
,M,Dembélé,TOT,M,-0.06,-0.41,1.7,0.0,1.7,139,4.9,1.4,-1090,-1,
,E,Lamela,TOT,M,0.31,-0.31,4.0,0.0,1.3,17,6.5,0.1,81,2,
,V,Wanyama,TOT,M,-0.41,-0.41,0.0,0.0,0.0,0,4.9,0.0,-106,0.0,
,H,Son,TOT,M,-0.12,-0.24,1.0,0.0,0.3,10,8.3,1.7,-7383,-8,
,H,Winks,TOT,M,-0.18,-0.36,1.0,0.0,0.7,2,5.5,0.0,7,0.0,
,G,Nkoudou,TOT,M,-0.4,-0.4,0.0,0.0,0.0,0,5.0,0.0,-27,0.0,
,L,Amos,TOT,M,-0.22,-0.44,1.0,0.0,0.3,2,4.5,0.1,-192,-4,
,N,Chalobah,WAT,M,-0.44,-0.44,0.0,0.0,0.0,0,4.5,0.2,-423,-4,
,T,Cleverley,WAT,M,-0.4,-0.4,0.0,0.0,0.0,0,5.0,0.0,-5,0.0,
,G,Deulofeu,WAT,M,-0.37,-0.37,0.0,0.0,0.0,0,5.4,0.2,-815,-8,
,K,Sema,WAT,M,-0.2,-0.41,1.0,0.0,1.0,48,4.9,0.1,-99,-2,
,D,Quina,WAT,M,-0.44,-0.44,0.0,0.0,0.0,0,4.5,0.1,-119,-2,
,P,Obiang,WHU,M,-0.45,-0.45,0.0,0.0,0.0,0,4.4,1.0,-1204,-2,
,M,Lanzini,WHU,M,-0.31,-0.31,0.0,0.0,0.0,0,6.4,0.0,-92,0.0,
,E,Fernandes,WHU,M,-0.44,-0.44,0.0,0.0,0.0,0,4.5,0.2,-677,-6,
,A,Yarmolenko,WHU,M,-0.19,-0.29,0.7,0.0,0.7,61,6.9,0.7,-1530,-4,
,I,Cavaleiro,WOL,M,-0.37,-0.37,0.0,0.0,0.0,0,5.4,0.1,-301,-6,
,B,Enobakhare,WOL,M,-0.45,-0.45,0.0,0.0,0.0,0,4.4,0.2,105,1,
,M,Gibbs-White,WOL,M,-0.33,-0.44,0.5,0.0,0.3,26,4.5,0.3,-621,-4,
,A,Traoré,WOL,M,-0.18,-0.36,1.0,0.0,0.7,63,5.5,0.4,132,1,
,L,Dendoncker,WOL,M,-0.44,-0.44,0.0,0.0,0.0,0,4.5,0.4,-1302,-6,
,P,Højbjerg,SOU,M,-0.67,-0.67,-1.0,-1.0,-0.3,76,4.5,0.4,-718,-3,
