I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
T,Smith,HUD,D,0.54,14,3,4.7,236,78.0,5.0,0.5
J,Stephens,SOU,D,0.54,14,3,4.7,270,90.0,5.0,0.9
J,Matip,LIV,D,0.42,13,3,4.3,270,90.0,5.5,3.2
C,Cédric,SOU,D,0.46,13,3,4.3,270,90.0,5.0,11.8
C,Azpilicueta,CHE,D,0.31,12,3,4.0,270,90.0,6.5,9.4
A,Moreno,LIV,D,0.44,8,2,4.0,180,90.0,4.5,1.9
A,Mawson,SWA,D,0.4,12,3,4.0,270,90.0,5.0,1.1
M,Olsson,SWA,D,0.4,12,3,4.0,270,90.0,5.0,0.3
D,Danilo,MCI,D,0.36,12,3,4.0,182,60.0,5.5,4.7
S,Duffy,BHA,D,0.38,11,3,3.7,270,90.0,4.5,0.5
S,Ward,BUR,D,0.38,11,3,3.7,270,90.0,4.5,4.3
K,Zouma,STK,D,0.31,11,3,3.7,270,90.0,5.5,3.3
M,Keane,EVE,D,0.31,11,3,3.7,270,90.0,5.5,13.5
N,Otamendi,MCI,D,0.31,11,3,3.7,270,90.0,5.5,7.5
C,Mbemba,NEW,D,0.43,11,3,3.7,236,78.0,4.0,8.0
~,~~~~~~~~,~~~~,~,~~~~,~~,~,3.6,~~~,~~~~~,~~~~~,~
S,Kolasinac,ARS,D,0.25,7,2,3.5,155,77.0,6.0,10.8
V,Moses,CHE,D,0.23,7,2,3.5,178,89.0,6.5,0.9
C,Daniels,BOU,D,0.26,10,3,3.3,270,90.0,5.0,13.9
P,Jagielka,EVE,D,0.26,10,3,3.3,262,87.0,5.0,7.4
A,Williams,EVE,D,0.24,10,3,3.3,195,65.0,5.5,4.2
R,Shawcross,STK,D,0.26,10,3,3.3,270,90.0,5.0,1.8
G,Cameron,STK,D,0.29,10,3,3.3,248,82.0,4.5,0.7
M,Britos,WAT,D,0.29,10,3,3.3,203,67.0,4.5,2.3
L,Baines,EVE,D,0.17,9,3,3.0,270,90.0,6.0,9.5
J,Stones,MCI,D,0.18,9,3,3.0,155,51.0,5.5,5.3
E,Pieters,STK,D,0.2,9,3,3.0,268,89.0,5.0,0.9
T,Alderweireld,TOT,D,0.17,9,3,3.0,270,90.0,6.0,14.5
M,Suttner,BHA,D,0.22,9,3,3.0,270,90.0,4.5,0.7
J,Manquillo,NEW,D,0.22,9,3,3.0,270,90.0,4.5,1.1
M,Lowton,BUR,D,0.16,8,3,2.7,270,90.0,4.5,1.1
V,Kompany,MCI,D,0.12,8,3,2.7,270,90.0,6.0,5.7
J,Lascelles,NEW,D,0.16,8,3,2.7,263,87.0,4.5,1.3
J,Vertonghen,TOT,D,0.12,8,3,2.7,270,90.0,6.0,8.4
A,Rüdiger,CHE,D,0.05,7,3,2.3,270,90.0,6.0,2.2
C,Fuchs,LEI,D,0.06,7,3,2.3,270,90.0,5.0,3.5
D,Simpson,LEI,D,0.07,7,3,2.3,270,90.0,4.5,4.9
D,Lovren,LIV,D,0.05,7,3,2.3,181,60.0,5.5,1.6
S,Mustafi,ARS,D,0.0,2,1,2.0,90,90.0,5.4,1.5
S,Francis,BOU,D,0.0,2,1,2.0,79,79.0,4.4,1.5
L,Dunk,BHA,D,0.0,6,3,2.0,270,90.0,4.5,1.4
K,Walker,MCI,D,0.0,4,2,2.0,133,66.0,6.5,12.6
J,Tarkowski,BUR,D,-0.07,5,3,1.7,270,90.0,4.5,0.1
W,Morgan,LEI,D,-0.07,5,3,1.7,270,90.0,4.5,2.9
M,Holgate,EVE,D,-0.11,3,2,1.5,180,90.0,4.4,1.2
K,Trippier,TOT,D,-0.09,3,2,1.5,180,90.0,5.4,2.6
N,Aké,BOU,D,-0.14,4,3,1.3,270,90.0,5.0,6.0
B,Mee,BUR,D,-0.16,4,3,1.3,270,90.0,4.5,8.3
S,Dann,CRY,D,-0.14,4,3,1.3,270,90.0,4.9,0.9
T,Fosu-Mensah,CRY,D,-0.16,4,3,1.3,257,85.0,4.5,1.8
A,Christensen,CHE,D,-0.13,4,3,1.3,164,54.0,5.5,0.2
H,Bellerín,ARS,D,-0.17,3,3,1.0,270,90.0,6.0,11.1
N,Monreal,ARS,D,-0.19,3,3,1.0,270,90.0,5.4,3.7
P,van Aanholt,CRY,D,-0.19,3,3,1.0,218,72.0,5.4,2.8
Y,Kaboul,WAT,D,-0.22,1,1,1.0,90,90.0,4.5,0.3
J,Fonte,WHU,D,-0.2,1,1,1.0,90,90.0,4.9,1.6
J,Collins,WHU,D,-0.22,1,1,1.0,90,90.0,4.5,0.3
A,Masuaku,WHU,D,-0.22,1,1,1.0,80,80.0,4.5,0.2
J,Riedewald,CRY,D,-0.2,1,1,1.0,90,90.0,4.9,0.2
B,Mendy,MCI,D,-0.15,1,1,1.0,90,90.0,6.5,0.5
S,Steve Cook,BOU,D,-0.27,2,3,0.7,270,90.0,4.9,0.6
A,Adam Smith,BOU,D,-0.27,2,3,0.7,190,63.0,4.9,0.8
B,Bruno,BHA,D,-0.29,2,3,0.7,225,75.0,4.5,0.2
A,Cresswell,WHU,D,-0.26,2,3,0.7,189,63.0,5.0,0.6
J,Ward,CRY,D,-0.35,1,3,0.3,270,90.0,4.9,0.4
A,Ogbonna,WHU,D,-0.38,1,3,0.3,270,90.0,4.5,1.0
