W,I,web_name       ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn    ,gf ,021922
 ,E,Capoue         ,WAT ,M,4.8 ,85 ,0.15 ,0.15 ,2.7,2.7 ,2.3 ,0.5 ,428    ,1  ,      
o,C,Chambers       ,FUL ,D,4.2 ,64 ,-0.07,-0.02,1.7,1.9 ,2.7 ,0.9 ,291    ,1  ,      
 ,W,Ndidi          ,LEI ,M,4.9 ,99 ,0.1  ,0.1  ,2.5,2.5 ,1.7 ,0.8 ,261    ,1  ,      
 ,N,Aké            ,BOU ,D,5.0 ,100,0.24 ,0.24 ,3.2,3.2 ,2.7 ,5.1 ,225    ,0  ,      
 ,J,Lerma          ,BOU ,M,4.5 ,71 ,0.04 ,-0.02,2.2,1.9 ,1.0 ,0.3 ,135    ,1  ,      
 ,R,Snodgrass      ,WHU ,M,5.0 ,67 ,0.08 ,0.3  ,2.4,3.5 ,1.7 ,1.1 ,113    ,0  ,      
 ,J,Bennett        ,CAR ,D,4.4 ,68 ,0.2  ,0.2  ,2.9,2.9 ,3.7 ,0.4 ,85     ,0  ,      
 ,M,Diamé          ,NEW ,M,4.8 ,78 ,0.0  ,0.04 ,2.0,2.2 ,0.3 ,0.1 ,62     ,1  ,      
 ,C,Coady          ,WOL ,D,4.5 ,100,0.09 ,0.09 ,2.4,2.4 ,3.0 ,0.7 ,50     ,0  ,      
 ,I,Gueye          ,EVE ,M,4.7 ,80 ,0.0  ,0.0  ,2.0,2.0 ,1.0 ,0.3 ,33     ,0  ,      
 ,H,Arter          ,CAR ,M,4.9 ,71 ,-0.04,-0.02,1.8,1.9 ,1.0 ,0.2 ,18     ,0  ,      
 ,J,Cork           ,BUR ,M,4.6 ,95 ,0.11 ,0.11 ,2.5,2.5 ,2.7 ,0.6 ,8      ,0  ,      
 ,A,Mooy           ,HUD ,M,5.0 ,66 ,0.14 ,0.16 ,2.7,2.8 ,1.7 ,1.0 ,6      ,0  ,      
 ,K,Walker         ,MCI ,D,6.4 ,81 ,0.36 ,0.41 ,4.3,4.6 ,4.3 ,10.6,-11    ,0  ,      
 ,F,Hadergjonaj    ,HUD ,D,4.4 ,71 ,0.07 ,0.09 ,2.3,2.4 ,0.7 ,0.1 ,-42    ,-1 ,      
 ,M,Le Marchand    ,FUL ,D,4.2 ,69 ,-0.21,-0.21,1.1,1.1 ,0.7 ,0.1 ,-52    ,-1 ,      
 ,D,Odoi           ,FUL ,D,4.4 ,90 ,-0.16,-0.16,1.3,1.3 ,0.7 ,0.1 ,-69    ,-1 ,      
 ,D,Pröpper        ,BHA ,M,4.8 ,83 ,0.04 ,0.04 ,2.2,2.2 ,2.0 ,0.1 ,-71    ,-1 ,      
 ,G,Bong           ,BHA ,D,4.4 ,66 ,0.02 ,0.05 ,2.1,2.2 ,2.3 ,0.1 ,-110   ,-2 ,      
 ,M,Montoya        ,BHA ,D,4.3 ,69 ,-0.05,-0.05,1.8,1.8 ,3.3 ,0.2 ,-130   ,-1 ,      
 ,S,Rico           ,FUL ,G,4.4 ,65 ,0.16 ,0.16 ,2.7,2.7 ,2.0 ,0.4 ,-172   ,-1 ,      
 ,C,Taylor         ,BUR ,D,4.4 ,92 ,0.02 ,0.05 ,2.1,2.2 ,1.3 ,0.4 ,-207   ,-1 ,      
 ,P,Groß           ,BHA ,M,6.7 ,56 ,0.18 ,0.21 ,3.2,3.4 ,4.3 ,1.8 ,-223   ,0  ,      
 ,T,Alderweireld   ,TOT ,D,6.0 ,89 ,0.25 ,0.28 ,3.5,3.7 ,3.0 ,4.1 ,-240   ,0  ,      
 ,J,Hogg           ,HUD ,M,4.4 ,67 ,0.02 ,0.05 ,2.1,2.2 ,1.0 ,0.3 ,-244   ,-1 ,      
 ,T,Kongolo        ,HUD ,D,4.3 ,78 ,-0.05,-0.02,1.8,1.9 ,0.3 ,0.2 ,-302   ,-2 ,      
 ,R,Fraser         ,BOU ,M,6.1 ,91 ,0.44 ,0.46 ,4.7,4.8 ,2.3 ,20.8,-315   ,0  ,      
 ,N,Matic          ,MUN ,M,5.0 ,87 ,0.04 ,0.04 ,2.2,2.2 ,2.0 ,0.8 ,-320   ,-1 ,      
 ,P,Billing        ,HUD ,M,4.5 ,81 ,0.13 ,0.13 ,2.6,2.6 ,0.7 ,1.4 ,-355   ,0  ,      
 ,A,André Gomes    ,EVE ,M,5.4 ,64 ,0.09 ,0.11 ,2.5,2.6 ,4.0 ,0.2 ,-376   ,-3 ,      
 ,B,Mee            ,BUR ,D,4.6 ,100,0.07 ,0.07 ,2.3,2.3 ,1.3 ,1.7 ,-646   ,-1 ,      
 ,J,Seri           ,FUL ,M,4.9 ,86 ,0.08 ,0.14 ,2.4,2.7 ,1.7 ,1.4 ,-667   ,-1 ,      
 ,R,Saïss          ,WOL ,D,4.2 ,33 ,0.19 ,0.45 ,2.8,3.9 ,4.3 ,0.5 ,-942   ,-3 ,      
 ,J,Ward-Prowse    ,SOU ,M,5.1 ,40 ,0.22 ,0.39 ,3.1,4.0 ,4.3 ,2.3 ,-1071  ,-1 ,      
 ,P,Zabaleta       ,WHU ,D,4.3 ,69 ,0.12 ,0.14 ,2.5,2.6 ,0.7 ,2.0 ,-1120  ,-1 ,      
 ,J,Stones         ,MCI ,D,5.2 ,65 ,0.31 ,0.35 ,3.6,3.8 ,3.3 ,5.5 ,-1426  ,0  ,      
 ,S,Morrison       ,CAR ,D,4.7 ,84 ,0.19 ,0.19 ,2.9,2.9 ,0.0 ,0.4 ,-1429  ,-6 ,      
 ,J,Tarkowski      ,BUR ,D,4.7 ,86 ,0.21 ,0.23 ,3.0,3.1 ,1.7 ,4.3 ,-1522  ,-1 ,      
 ,C,Schindler      ,HUD ,D,4.2 ,97 ,0.07 ,0.12 ,2.3,2.5 ,0.7 ,2.3 ,-1566  ,-1 ,      
 ,A,Schürrle       ,FUL ,M,5.5 ,69 ,0.24 ,0.31 ,3.3,3.7 ,0.7 ,2.6 ,-1693  ,-1 ,      
 ,M,Zanka          ,HUD ,D,4.4 ,84 ,0.23 ,0.23 ,3.0,3.0 ,1.0 ,3.0 ,-1762  ,-1 ,      
 ,M,Ryan           ,BHA ,G,4.4 ,85 ,0.27 ,0.27 ,3.2,3.2 ,2.3 ,2.9 ,-2154  ,-1 ,      
 ,A,McCarthy       ,SOU ,G,4.4 ,96 ,0.2  ,0.2  ,2.9,2.9 ,2.3 ,2.7 ,-2223  ,-1 ,      
 ,N,Redmond        ,SOU ,M,5.3 ,96 ,0.23 ,0.25 ,3.2,3.3 ,4.7 ,2.5 ,-2266  ,-1 ,      
 ,A,Westwood       ,BUR ,M,4.6 ,78 ,0.2  ,0.26 ,2.9,3.2 ,2.7 ,2.9 ,-2793  ,-2 ,      
 ,N,Mendy          ,LEI ,M,4.5 ,85 ,0.04 ,0.04 ,2.2,2.2 ,1.0 ,1.0 ,-3053  ,-5 ,      
 ,A,Young          ,MUN ,D,5.7 ,71 ,0.14 ,0.16 ,2.8,2.9 ,3.0 ,1.8 ,-3275  ,-3 ,      
 ,F,Fernandinho    ,MCI ,M,5.3 ,93 ,0.17 ,0.17 ,2.9,2.9 ,2.3 ,3.8 ,-3395  ,-1 ,      
 ,A,Begovic        ,BOU ,G,4.3 ,85 ,0.19 ,0.19 ,2.8,2.8 ,0.0 ,3.2 ,-3512  ,-2 ,      
 ,T,Walcott        ,EVE ,M,6.0 ,75 ,0.17 ,0.25 ,3.0,3.5 ,1.0 ,2.8 ,-4200  ,-2 ,      
 ,J,Lössl          ,HUD ,G,4.4 ,88 ,0.27 ,0.27 ,3.2,3.2 ,1.0 ,1.8 ,-4658  ,-4 ,      
 ,L,Dunk           ,BHA ,D,4.5 ,89 ,0.13 ,0.16 ,2.6,2.7 ,2.0 ,2.4 ,-4838  ,-3 ,      
 ,L,Torreira       ,ARS ,M,4.8 ,79 ,0.13 ,0.23 ,2.6,3.1 ,1.3 ,4.4 ,-4855  ,-2 ,      
 ,S,Coleman        ,EVE ,D,5.2 ,75 ,0.15 ,0.15 ,2.8,2.8 ,2.0 ,1.1 ,-4979  ,-7 ,      
 ,G,Xhaka          ,ARS ,M,5.2 ,80 ,0.19 ,0.21 ,3.0,3.1 ,0.0 ,2.3 ,-5023  ,-4 ,      
 ,V,Lindelöf       ,MUN ,D,5.0 ,77 ,0.2  ,0.24 ,3.0,3.2 ,5.7 ,4.9 ,-5302  ,-2 ,      
 ,H,Bellerín       ,ARS ,D,5.4 ,65 ,0.22 ,0.3  ,3.2,3.6 ,0.0 ,4.8 ,-6181  ,-2 ,      
