O,I,web_name      ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn    ,gf ,020214
 ,J,King          ,BOU ,F,0.1  ,0.13 ,2.7,2.9 ,0.7 ,1489,7.0  ,1.0 ,77     ,0  ,      
 ,M,Olsson        ,SWA ,D,0.18 ,0.18 ,2.9,2.9 ,3.3 ,2066,5.0  ,0.2 ,60     ,1  ,      
 ,D,Sánchez       ,TOT ,D,0.18 ,0.2  ,3.1,3.2 ,3.5 ,1550,6.0  ,0.5 ,37     ,0  ,      
 ,S,March         ,BHA ,M,0.04 ,0.18 ,2.2,2.9 ,2.3 ,1486,4.9  ,0.2 ,25     ,0  ,      
 ,D,Pröpper       ,BHA ,M,0.09 ,0.09 ,2.5,2.5 ,2.0 ,2235,5.3  ,0.1 ,21     ,0  ,      
 ,Y,Cabaye        ,CRY ,M,0.06 ,0.11 ,2.3,2.6 ,1.0 ,1561,5.3  ,0.2 ,-19    ,0  ,      
 ,J,Matip         ,LIV ,D,0.26 ,0.3  ,3.4,3.6 ,2.7 ,1621,5.4  ,1.8 ,-43    ,0  ,      
 ,M,Keane         ,EVE ,D,0.09 ,0.11 ,2.5,2.6 ,2.3 ,1434,5.3  ,4.5 ,-77    ,0  ,      
 ,J,Hendrick      ,BUR ,M,0.17 ,0.19 ,2.9,3.0 ,2.0 ,1706,5.4  ,0.2 ,-145   ,-1 ,      
 ,M,Schneiderlin  ,EVE ,M,-0.09,-0.02,1.6,1.9 ,1.0 ,1430,4.7  ,0.5 ,-168   ,-1 ,      
 ,G,Krychowiak    ,WBA ,M,0.08 ,0.21 ,2.4,3.0 ,3.3 ,1219,4.8  ,0.2 ,-195   ,-2 ,      
 ,I,Gueye         ,EVE ,M,0.04 ,0.04 ,2.2,2.2 ,1.3 ,1849,4.8  ,0.8 ,-197   ,0  ,      
 ,J,Livermore     ,WBA ,M,0.02 ,0.08 ,2.1,2.4 ,0.7 ,1754,4.8  ,0.1 ,-199   ,-3 ,      
 ,D,Fletcher      ,STK ,M,0.13 ,0.13 ,2.6,2.6 ,2.7 ,2065,4.8  ,0.5 ,-206   ,-1 ,      
 ,W,Hoedt         ,SOU ,D,0.06 ,0.06 ,2.3,2.3 ,1.7 ,1350,5.0  ,0.1 ,-211   ,-4 ,      
 ,T,Smith         ,HUD ,D,0.02 ,0.02 ,2.1,2.1 ,-0.3,1519,4.7  ,0.2 ,-231   ,-2 ,      
 ,J,Murphy        ,NEW ,M,0.02 ,0.2  ,2.1,3.0 ,3.3 ,846 ,5.0  ,0.1 ,-264   ,-5 ,      
 ,C,Kouyaté       ,WHU ,M,0.12 ,0.18 ,2.6,2.9 ,2.8 ,1630,5.0  ,0.4 ,-333   ,-1 ,      
 ,S,Dann          ,CRY ,D,-0.02,0.0  ,1.9,2.0 ,0.0 ,1434,4.6  ,0.3 ,-357   ,-2 ,      
 ,A,Nyom          ,WBA ,D,0.1  ,0.17 ,2.5,2.8 ,0.7 ,1420,4.8  ,1.1 ,-362   ,-1 ,      
