O,I,web_name,team,T,VA/M,pt,g,p/g,min,m/g,price,%,net_trans,1130 23
,R,Sanches,SWA,M,-0.29,14,8,1.8,502,63,4.7,0.5,-1080,
,A,Ayew,WHU,M,0.34,36,12,3.0,703,59,6.9,1.1,-1125,
,G,Barry,WBA,M,0.8,31,13,2.4,1096,84,4.5,1.4,-1185,
,C,Kouyaté,WHU,M,1.0,36,12,3.0,964,80,5.0,0.5,-1189,
,M,Britos,WAT,D,0.22,20,9,2.2,704,78,4.4,0.9,-1223,
,D,Yedlin,NEW,D,0.11,21,10,2.1,900,90,4.4,0.8,-1232,
,A,Knockaert,BHA,M,0.53,41,14,2.9,997,71,5.7,0.9,-1260,
,G,Wijnaldum,LIV,M,0.33,35,12,2.9,961,80,6.7,2.4,-1265,
,A,Pérez,NEW,F,0.36,32,13,2.5,941,72,5.4,0.9,-1320,
,A,Sánchez,ARS,M,0.4,56,11,5.1,794,72,11.8,2.9,-1409,
,M,Phillips,WBA,M,0.63,39,13,3.0,801,62,5.6,0.7,-1418,
,M,Lanzini,WHU,M,0.21,23,9,2.6,700,78,6.8,0.6,-1465,
,J,Holebas,WAT,D,0.47,30,11,2.7,904,82,5.0,0.6,-1542,
,P,Obiang,WHU,M,1.25,25,10,2.5,734,73,4.4,1.2,-1575,
,P,Jagielka,EVE,D,-0.38,15,10,1.5,892,89,4.8,2.9,-1591,
,A,Iwobi,ARS,M,0.91,21,7,3.0,399,57,5.1,0.6,-1690,
,T,Hemed,BHA,F,1.33,29,9,3.2,467,52,4.9,1.4,-1721,
,S,Dann,CRY,D,-0.67,13,11,1.2,990,90,4.7,0.6,-1762,
,C,Fuchs,LEI,D,0.93,36,11,3.3,990,90,4.9,2.6,-1801,
,G,Jesus,MCI,F,0.55,71,13,5.5,771,59,10.4,14.9,-1818,
,T,Cleverley,WAT,M,1.0,42,14,3.0,1233,88,5.0,1.1,-1832,
,P,Zabaleta,WHU,D,0.07,27,13,2.1,1141,88,4.9,1.7,-1962,
,J,Rodriguez,WBA,F,0.31,32,13,2.5,1112,86,5.6,0.9,-2015,
,J,Henderson,LIV,M,0.8,38,12,3.2,991,83,5.5,1.7,-2038,
,N,Redmond,SOU,M,0.24,33,13,2.5,965,74,6.1,2.2,-2081,
,C,Schindler,HUD,D,0.73,37,13,2.8,1136,87,4.6,3.0,-2117,
,C,Dawson,WBA,D,0.77,27,9,3.0,810,90,4.8,1.4,-2122,
,J,Fonte,WHU,D,1.77,34,8,4.3,688,86,4.8,1.3,-2133,
,A,Carroll,WHU,F,-0.53,8,8,1.0,539,67,5.9,0.3,-2244,
,J,Manquillo,NEW,D,0.67,29,11,2.6,990,90,4.4,1.3,-2329,
,J,Mata,MUN,M,0.52,35,10,3.5,634,63,6.9,2.0,-2339,
,J,Joselu,NEW,F,0.4,34,13,2.6,924,71,5.5,0.8,-2371,
,J,McArthur,CRY,M,0.25,21,10,2.1,591,59,4.4,2.4,-2376,
,C,Smalling,MUN,D,1.11,37,9,4.1,735,82,5.4,4.0,-2410,
,A,Cresswell,WHU,D,0.33,33,13,2.5,1044,80,5.0,0.8,-2432,
,R,Klavan,LIV,D,2.0,25,7,3.6,630,90,4.3,1.1,-2464,
x,P,Groß,BHA,M,1.7,76,14,5.4,1171,84,6.0,21.6,-2735,
,E,Dier,TOT,M,0.13,30,14,2.1,1156,83,4.8,2.8,-2771,
,F,Forster,SOU,G,1.53,60,14,4.3,1260,90,5.0,8.1,-3030,
,C,Fàbregas,CHE,M,0.45,43,13,3.3,969,75,6.9,4.9,-3060,
,E,Can,LIV,M,0.63,28,11,2.5,815,74,4.8,4.5,-3259,
,J,Butland,STK,G,0.47,30,11,2.7,990,90,5.0,2.4,-3515,
,S,Okazaki,LEI,F,0.87,36,11,3.3,595,54,5.5,4.2,-3753,
,T,Abraham,SWA,F,1.0,51,13,3.9,982,76,5.9,11.7,-3768,
,J,Jesé,STK,M,0.6,26,9,2.9,482,54,5.5,3.0,-3967,
,S,Davis,SOU,M,1.91,53,13,4.1,1044,80,5.1,4.6,-3988,
,J,Ayew,SWA,F,0.55,37,14,2.6,1179,84,5.1,3.9,-4053,
,B,Foster,WBA,G,0.89,36,13,2.8,1170,90,4.4,11.1,-4130,
,C,Löwe,HUD,D,0.9,38,13,2.9,877,67,4.5,3.2,-4677,
,J,Lössl,HUD,G,1.91,58,14,4.1,1260,90,4.6,9.6,-4753,
,M,Yoshida,SOU,D,1.71,48,11,4.4,904,82,4.9,3.6,-4771,
,P,Coutinho,LIV,M,0.92,45,7,6.4,570,81,8.8,5.2,-5883,
,M,Gabbiadini,SOU,F,0.36,35,12,2.9,671,56,6.5,2.1,-5907,
,E,Choupo-Moting,STK,M,1.24,58,14,4.1,1171,84,5.7,5.9,-6061,
,H,Lloris,TOT,G,0.75,46,13,3.5,1170,90,5.5,9.2,-6183,
,A,Surman,BOU,M,2.25,50,13,3.8,1170,90,4.8,8.4,-6254,
,M,Keane,EVE,D,-0.22,18,11,1.6,974,89,5.3,5.3,-6322,
,M,Zanka,HUD,D,1.0,42,14,3.0,1260,90,4.5,6.8,-7256,
,W,Zaha,CRY,M,0.72,33,8,4.1,706,88,6.9,5.3,-7365,
,C,Atsu,NEW,M,1.56,37,11,3.4,913,83,4.9,1.7,-8267,
,A,Hegazi,WBA,D,0.9,40,14,2.9,1226,88,4.5,18.2,-8573,
,F,Fernandinho,MCI,M,1.5,53,14,3.8,1229,88,5.2,8.0,-8842,
,T,Carroll,SWA,M,1.2,34,13,2.6,1126,87,4.5,5.1,-9988,
,F,Fernández,SWA,D,1.1,37,12,3.1,1080,90,4.5,2.4,-9992,
,T,Alderweireld,TOT,D,0.75,38,10,3.8,900,90,5.9,6.4,-10242,
,L,Baines,EVE,D,0.36,36,13,2.8,1099,85,5.7,4.5,-10565,
,A,Valencia,MUN,D,0.94,72,14,5.1,1260,90,6.8,15.7,-11335,
,A,Mooy,HUD,M,0.93,46,14,3.3,1168,83,5.4,6.5,-11390,
,T,Bakayoko,CHE,M,1.09,38,12,3.2,928,77,5.1,3.3,-12563,
,G,Murray,BHA,F,0.67,38,12,3.2,719,60,5.8,3.8,-12795,
x,R,Elliot,NEW,G,1.71,42,13,3.2,1170,90,4.2,26.2,-12946,
,G,Xhaka,ARS,M,0.93,46,14,3.3,1227,88,5.4,9.3,-14175,
,J,Hart,WHU,G,1.33,45,14,3.2,1260,90,4.4,7.9,-14918,
,C,Cédric,SOU,D,0.62,39,14,2.8,1248,89,4.8,6.2,-15278,
,J,Vertonghen,TOT,D,0.62,51,14,3.6,1229,88,6.1,8.9,-15384,
,D,de Gea,MUN,G,1.48,75,14,5.4,1260,90,5.8,41.8,-16143,
,M,Lowton,BUR,D,1.75,53,13,4.1,1170,90,4.7,4.4,-16191,
,E,Bailly,MUN,D,1.46,46,8,5.8,720,90,6.1,8.3,-16808,
,J,Chicharito,WHU,F,0.61,41,11,3.7,900,82,6.8,7.9,-16977,
,J,Stones,MCI,D,0.86,46,12,3.8,884,74,5.6,4.7,-18815,
,K,Trippier,TOT,D,1.55,54,10,5.4,813,81,5.7,8.3,-23150,
x,J,Lascelles,NEW,D,1.67,44,11,4.0,947,86,4.7,7.1,-23335,
,R,Firmino,LIV,F,0.5,54,13,4.2,964,74,8.4,17.0,-24324,
,D,David Luiz,CHE,D,0.7,29,8,3.6,716,90,5.8,10.3,-28316,
,B,Alli,TOT,M,0.48,59,13,4.5,1145,88,9.2,14.9,-28996,
,H,Mkhitaryan,MUN,M,0.63,53,12,4.4,804,67,7.8,9.0,-29780,
,M,Rashford,MUN,F,0.49,53,14,3.8,891,64,7.7,8.9,-29843,
,P,Jones,MUN,D,1.79,59,11,5.4,893,81,5.4,7.7,-39743,
,A,Lacazette,ARS,F,0.33,58,14,4.1,939,67,10.3,9.3,-49645,
,B,Davies,TOT,D,1.67,55,10,5.5,800,80,5.6,16.5,-53203,
,N,Matic,MUN,M,0.89,39,14,2.8,1223,87,4.9,11.8,-53992,
,D,David Silva,MCI,M,0.69,69,14,4.9,1156,83,8.2,17.6,-73031,
,C,Eriksen,TOT,M,0.54,69,14,4.9,1179,84,9.4,16.9,-73145,
,R,Lukaku,MUN,F,0.47,77,14,5.5,1260,90,11.4,39.5,-106054,
x,L,Sané,MCI,M,0.86,81,13,6.2,852,66,8.9,25.6,-193649,
