W,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,m% ,price,%   ,txn    ,gf ,120410
 ,M,Salah           ,LIV ,M,0.32 ,0.34 ,6.1,6.4 ,6.3 ,94 ,13.0 ,35.2,-43720 ,-2 ,      
 ,M,Özil            ,ARS ,M,0.32 ,0.32 ,4.6,4.6 ,0.3 ,65 ,8.2  ,3.7 ,-50531 ,-23,      
 ,L,Lucas Moura     ,TOT ,M,0.34 ,0.39 ,4.4,4.7 ,1.3 ,80 ,7.0  ,10.1,-55671 ,-9 ,      
o,A,Robertson       ,LIV ,D,0.69 ,0.69 ,6.5,6.5 ,8.3 ,93 ,6.5  ,32.9,-59641 ,-3 ,      
 ,E,Hazard          ,CHE ,M,0.44 ,0.54 ,6.8,7.9 ,3.5 ,76 ,11.0 ,35.3,-90628 ,-4 ,      
 ,R,Pereyra         ,WAT ,M,0.38 ,0.43 ,4.4,4.7 ,1.7 ,94 ,6.3  ,15.9,-103118,-11,      
 ,K,Trippier        ,TOT ,D,0.56 ,0.62 ,5.4,5.8 ,0.3 ,72 ,6.1  ,19.7,-113742,-10,      
 ,R,Neves           ,WOL ,M,0.2  ,0.2  ,3.0,3.0 ,1.3 ,100,5.0  ,14.8,-151082,-17,      
m,S,Mané            ,LIV ,M,0.43 ,0.45 ,6.2,6.4 ,5.0 ,91 ,9.8  ,31.3,-158635,-9 ,      
 ,S,Agüero          ,MCI ,F,0.38 ,0.38 ,6.3,6.3 ,3.0 ,76 ,11.4 ,40.0,-783642,-33,      
