W,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,m% ,price,%   ,txn   ,gf ,120621
 ,G,Bong            ,BHA ,D,0.07 ,0.07 ,2.3,2.3 ,0.3 ,78 ,4.5  ,0.2 ,-195  ,-2 ,      
 ,B,Mee             ,BUR ,D,0.04 ,0.06 ,2.2,2.3 ,2.3 ,100,4.7  ,2.1 ,-604  ,0  ,      
 ,W,Hoedt           ,SOU ,D,0.05 ,0.05 ,2.2,2.2 ,0.5 ,87 ,4.3  ,0.3 ,-191  ,-1 ,      
 ,V,Lindelöf        ,MUN ,D,0.02 ,0.04 ,2.1,2.2 ,2.0 ,73 ,4.8  ,0.8 ,-1913 ,-4 ,      
 ,I,Diop            ,WHU ,D,0.02 ,0.02 ,2.1,2.1 ,2.5 ,87 ,4.3  ,0.8 ,2536  ,5  ,      
 ,B,Ecuele Manga    ,CAR ,D,0.0  ,0.0  ,2.0,2.0 ,1.8 ,100,4.4  ,0.1 ,54    ,1  ,      
 ,A,Young           ,MUN ,D,-0.02,-0.02,1.9,1.9 ,1.5 ,67 ,5.7  ,1.1 ,-447  ,-1 ,      
 ,M,Lowton          ,BUR ,D,-0.04,-0.04,1.8,1.8 ,2.0 ,80 ,4.7  ,0.3 ,-177  ,-1 ,      
 ,C,Taylor          ,BUR ,D,-0.07,-0.05,1.7,1.8 ,2.5 ,87 ,4.4  ,0.3 ,50    ,0  ,      
 ,M,Le Marchand     ,FUL ,D,-0.17,-0.19,1.3,1.2 ,2.0 ,77 ,4.2  ,0.2 ,142   ,1  ,      
o,C,Chambers        ,FUL ,D,-0.26,-0.24,0.9,1.0 ,1.0 ,52 ,4.2  ,0.9 ,358   ,1  ,      
 ,D,Odoi            ,FUL ,D,-0.27,-0.3 ,0.8,0.7 ,1.0 ,83 ,4.4  ,0.1 ,-21   ,0  ,      
