W,I,web_name       ,team,T,VA/M ,VA/ML,p/g,p/gl,form,m% ,price,%   ,txn    ,gf ,120621
 ,J,Maddison       ,LEI ,M,0.38 ,0.41 ,4.6,4.8 ,4.0 ,81 ,6.8  ,5.8 ,11289  ,3  ,      
 ,X,Shaqiri        ,LIV ,M,0.33 ,0.4  ,4.3,4.8 ,5.3 ,40 ,7.0  ,2.9 ,6835   ,4  ,      
 ,L,Lucas Moura    ,TOT ,M,0.37 ,0.39 ,4.6,4.7 ,3.0 ,80 ,7.0  ,10.0,844    ,0  ,      
 ,C,Eriksen        ,TOT ,M,0.18 ,0.26 ,3.7,4.4 ,5.5 ,62 ,9.2  ,5.4 ,18547  ,6  ,      
o,F,Felipe Anderson,WHU ,M,0.33 ,0.33 ,4.4,4.4 ,5.8 ,92 ,7.2  ,12.4,46418  ,6  ,      
o,H,Son            ,TOT ,M,0.2  ,0.27 ,3.7,4.3 ,5.5 ,42 ,8.4  ,3.4 ,32952  ,16 ,      
 ,R,Pereyra        ,WAT ,M,0.37 ,0.37 ,4.3,4.3 ,1.8 ,94 ,6.3  ,15.3,-23914 ,-3 ,      
 ,T,Walcott        ,EVE ,M,0.27 ,0.3  ,3.7,3.9 ,3.3 ,84 ,6.3  ,4.5 ,-6250  ,-2 ,      
 ,A,Schürrle       ,FUL ,M,0.29 ,0.33 ,3.7,3.9 ,2.3 ,75 ,5.8  ,4.4 ,-6720  ,-3 ,      
~,~,~~~~~~~~       ,~~~~,~,~~~~ ,~~~~~,~~~,3.85,~~~~,~~ ,~~~~~,~   ,~~~    ,~~ ,~~~~~~
 ,A,Knockaert      ,BHA ,M,0.2  ,0.33 ,3.1,3.8 ,2.3 ,68 ,5.5  ,0.9 ,-2279  ,-4 ,      
 ,C,Paterson       ,CAR ,M,0.26 ,0.34 ,3.4,3.8 ,4.3 ,70 ,5.3  ,1.3 ,-996   ,-1 ,      
 ,P,Pogba          ,MUN ,M,0.2  ,0.23 ,3.6,3.8 ,1.3 ,84 ,7.9  ,10.4,-8727  ,-1 ,      
 ,A,Herrera        ,MUN ,M,0.18 ,0.34 ,2.9,3.7 ,4.8 ,28 ,5.0  ,0.2 ,3652   ,31 ,      
 ,D,Brooks         ,BOU ,M,0.27 ,0.31 ,3.4,3.6 ,2.5 ,71 ,5.2  ,3.2 ,-5940  ,-3 ,      
 ,W,Willian        ,CHE ,M,0.25 ,0.22 ,3.8,3.6 ,1.8 ,67 ,7.3  ,5.5 ,-12765 ,-4 ,      
 ,S,March          ,BHA ,M,0.25 ,0.29 ,3.3,3.5 ,4.5 ,81 ,5.1  ,1.4 ,9479   ,11 ,      
 ,R,Sessegnon      ,FUL ,M,0.15 ,0.25 ,2.9,3.5 ,3.5 ,85 ,6.0  ,2.6 ,-1362  ,-1 ,      
 ,A,Doucouré       ,WAT ,M,0.25 ,0.25 ,3.5,3.5 ,3.5 ,100,5.9  ,1.5 ,3535   ,4  ,      
 ,G,Wijnaldum      ,LIV ,M,0.22 ,0.25 ,3.2,3.4 ,2.3 ,87 ,5.5  ,1.4 ,-2177  ,-3 ,      
m,A,Ramsey         ,ARS ,M,0.15 ,0.18 ,3.1,3.3 ,3.3 ,48 ,7.3  ,1.2 ,-382   ,-1 ,      
 ,A,Townsend       ,CRY ,M,0.23 ,0.23 ,3.3,3.3 ,5.3 ,97 ,5.7  ,2.1 ,1835   ,1  ,      
 ,L,Milivojevic    ,CRY ,M,0.22 ,0.22 ,3.3,3.3 ,4.0 ,100,6.0  ,2.7 ,3585   ,2  ,      
