O,I,web_name        ,team,T,VA/M ,pt,g ,p/g,min ,m/g,price,%   ,net_trans,1207 14
 ,J,Manquillo       ,NEW ,D,0.11 ,30,12,2.5,1080,90 ,4.4  ,1.3 ,-435     ,       
 ,C,Mbemba          ,NEW ,D,0.1  ,17,7 ,2.4,588 ,84 ,4.0  ,11.3,3200     ,       
 ,G,Bong            ,BHA ,D,0.09 ,17,7 ,2.4,630 ,90 ,4.4  ,0.1 ,98       ,       
 ,C,Martina         ,EVE ,D,0.09 ,17,7 ,2.4,570 ,81 ,4.3  ,0.4 ,634      ,       
 ,W,Reid            ,WHU ,D,0.08 ,26,11,2.4,976 ,89 ,4.9  ,0.7 ,-999     ,       
 ,L,Dunk            ,BHA ,D,0.07 ,34,15,2.3,1350,90 ,4.4  ,2.6 ,1672     ,       
 ,K,Gibbs           ,WBA ,D,0.06 ,28,12,2.3,1006,84 ,5.0  ,0.4 ,771      ,       
 ,V,Lindelöf        ,MUN ,D,0.06 ,14,6 ,2.3,428 ,71 ,4.9  ,1.2 ,3356     ,       
 ,V,van Dijk        ,SOU ,D,0.06 ,23,10,2.3,813 ,81 ,5.4  ,2.0 ,-749     ,       
 ,J,Milner          ,LIV ,D,0.05 ,30,13,2.3,648 ,50 ,6.1  ,2.4 ,-897     ,       
 ,M,Britos          ,WAT ,D,0.05 ,20,9 ,2.2,704 ,78 ,4.4  ,0.8 ,-1166    ,       
 ,T,Smith           ,HUD ,D,0.04 ,26,12,2.2,1024,85 ,4.8  ,0.3 ,-137     ,       
 ,J,Evans           ,WBA ,D,0.02 ,25,12,2.1,1021,85 ,4.9  ,0.7 ,602      ,       
 ,S,Malone          ,HUD ,D,0.02 ,17,8 ,2.1,449 ,56 ,4.3  ,0.3 ,4        ,       
 ,W,Hoedt           ,SOU ,D,0.02 ,17,8 ,2.1,720 ,90 ,5.0  ,0.0 ,47       ,       
 ,J,Tomkins         ,CRY ,D,0.0  ,12,6 ,2.0,412 ,69 ,4.3  ,0.4 ,-778     ,       
 ,J,Schlupp         ,CRY ,D,0.0  ,26,13,2.0,1047,81 ,4.7  ,0.2 ,1243     ,       
 ,T,Alexander-Arnold,LIV ,D,0.0  ,10,5 ,2.0,450 ,90 ,4.2  ,1.1 ,850      ,       
 ,D,Yedlin          ,NEW ,D,0.0  ,22,11,2.0,905 ,82 ,4.4  ,0.7 ,-1051    ,       
 ,P,Zabaleta        ,WHU ,D,0.0  ,28,14,2.0,1231,88 ,4.9  ,1.6 ,-1198    ,       
 ,S,Francis         ,BOU ,D,-0.02,23,12,1.9,982 ,82 ,4.4  ,1.2 ,-36      ,       
 ,J,Ward            ,CRY ,D,-0.02,27,14,1.9,1214,87 ,4.8  ,0.3 ,1570     ,       
 ,G,Cameron         ,STK ,D,-0.02,13,7 ,1.9,563 ,80 ,4.3  ,0.3 ,-335     ,       
 ,A,Adam Smith      ,BOU ,D,-0.04,25,14,1.8,1046,75 ,4.8  ,0.4 ,-1280    ,       
