O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn    ,011921
 ,E,Dier            ,TOT ,M,0.09 ,0.11 ,2.4,2.5 ,3.2 ,1924,4.7  ,2.6 ,3707   ,      
 ,C,Dawson          ,WBA ,D,0.35 ,0.35 ,3.7,3.7 ,4.2 ,1160,4.8  ,1.1 ,3430   ,      
 ,J,Rodriguez       ,WBA ,F,0.09 ,0.15 ,2.5,2.8 ,3.6 ,1685,5.5  ,0.9 ,3141   ,      
 ,R,Fraser          ,BOU ,M,0.27 ,0.47 ,3.4,4.4 ,4.8 ,957 ,5.1  ,0.6 ,3031   ,      
 ,A,Ramsey          ,ARS ,M,0.45 ,0.54 ,5.1,5.7 ,0.2 ,1212,6.9  ,2.6 ,3023   ,      
x,O,Niasse          ,EVE ,F,0.49 ,0.81 ,4.3,5.8 ,1.4 ,567 ,4.7  ,4.2 ,2833   ,      
 ,C,Smalling        ,MUN ,D,0.32 ,0.36 ,3.7,3.9 ,1.4 ,1275,5.3  ,2.1 ,2809   ,      
 ,B,Bruno           ,BHA ,D,0.29 ,0.36 ,3.3,3.6 ,2.8 ,1635,4.5  ,1.6 ,1582   ,      
 ,K,Wimmer          ,STK ,D,-0.21,-0.17,1.1,1.3 ,1.2 ,1321,4.2  ,0.4 ,1536   ,      
 ,S,Francis         ,BOU ,D,-0.12,-0.05,1.5,1.8 ,0.6 ,1612,4.3  ,0.9 ,1092   ,      
 ,C,Fuchs           ,LEI ,D,0.17 ,0.23 ,2.8,3.1 ,1.8 ,1368,4.8  ,2.1 ,992    ,      
 ,K,Gibbs           ,WBA ,D,0.18 ,0.18 ,2.9,2.9 ,4.0 ,1716,5.0  ,0.5 ,972    ,      
 ,A,Pérez           ,NEW ,F,0.1  ,0.23 ,2.5,3.2 ,3.2 ,1326,5.2  ,1.3 ,926    ,      
 ,M,Noble           ,WHU ,M,0.11 ,0.09 ,2.6,2.5 ,2.0 ,1050,5.3  ,0.1 ,806    ,      
 ,V,Moses           ,CHE ,D,0.3  ,0.39 ,3.9,4.5 ,4.0 ,1152,6.4  ,1.2 ,722    ,      
 ,M,Ryan            ,BHA ,G,0.4  ,0.4  ,3.8,3.8 ,3.6 ,2070,4.5  ,2.4 ,681    ,      
 ,W,Ndidi           ,LEI ,M,0.1  ,0.1  ,2.5,2.5 ,2.2 ,2040,4.9  ,0.5 ,422    ,      
 ,G,Cameron         ,STK ,D,-0.09,-0.07,1.6,1.7 ,1.0 ,1118,4.3  ,0.3 ,366    ,      
 ,J,Matip           ,LIV ,D,0.26 ,0.3  ,3.4,3.6 ,2.0 ,1441,5.4  ,1.9 ,344    ,      
 ,B,Bernardo Silva  ,MCI ,M,0.07 ,0.23 ,2.5,3.7 ,3.4 ,670 ,7.4  ,0.6 ,102    ,      
 ,A,Adam Smith      ,BOU ,D,0.0  ,0.02 ,2.0,2.1 ,2.8 ,1676,4.8  ,0.4 ,38     ,      
 ,W,Hoedt           ,SOU ,D,0.06 ,0.06 ,2.3,2.3 ,2.2 ,1170,5.0  ,0.1 ,-16    ,      
 ,S,Clucas          ,SWA ,M,0.02 ,0.11 ,2.1,2.5 ,1.8 ,1038,4.7  ,0.0 ,-21    ,      
 ,J,Joselu          ,NEW ,F,0.18 ,0.18 ,3.0,3.0 ,3.2 ,1384,5.5  ,0.7 ,-25    ,      
 ,M,Wagué           ,WAT ,D,0.31 ,0.44 ,3.4,4.0 ,3.2 ,378 ,4.5  ,0.1 ,-40    ,      
 ,R,van La Parra    ,HUD ,M,-0.02,0.04 ,1.9,2.2 ,2.2 ,1204,4.8  ,0.1 ,-41    ,      
 ,V,Iborra          ,LEI ,M,0.09 ,0.14 ,2.5,2.8 ,1.0 ,1055,5.8  ,0.1 ,-70    ,      
 ,K,Zouma           ,STK ,D,0.07 ,0.07 ,2.4,2.4 ,1.2 ,1775,5.4  ,1.9 ,-73    ,      
 ,C,Kouyaté         ,WHU ,M,0.14 ,0.22 ,2.7,3.1 ,2.4 ,1456,5.0  ,0.4 ,-102   ,      
 ,E,Kachunga        ,HUD ,M,0.11 ,0.09 ,2.6,2.5 ,0.0 ,1253,5.7  ,0.1 ,-111   ,      
 ,C,Brunt           ,WBA ,M,0.24 ,0.39 ,3.2,4.0 ,3.4 ,780 ,5.1  ,0.5 ,-111   ,      
 ,I,Gueye           ,EVE ,M,0.04 ,0.04 ,2.2,2.2 ,2.4 ,1759,4.8  ,0.8 ,-120   ,      
 ,D,Gosling         ,BOU ,M,0.06 ,0.19 ,2.3,2.9 ,3.6 ,822 ,4.8  ,0.1 ,-122   ,      
 ,L,Fer             ,SWA ,M,0.02 ,0.1  ,2.1,2.5 ,0.4 ,1179,5.2  ,0.2 ,-124   ,      
 ,G,Krychowiak      ,WBA ,M,0.06 ,0.17 ,2.3,2.8 ,1.2 ,1097,4.8  ,0.2 ,-153   ,      
 ,M,Lemina          ,SOU ,M,-0.02,0.04 ,1.9,2.2 ,1.2 ,1040,4.8  ,0.1 ,-160   ,      
 ,J,Ward            ,CRY ,D,-0.02,-0.02,1.9,1.9 ,0.0 ,1214,4.7  ,0.2 ,-167   ,      
 ,M,Merino          ,NEW ,M,0.06 ,0.04 ,2.3,2.2 ,0.8 ,1145,5.0  ,0.1 ,-211   ,      
 ,J,Livermore       ,WBA ,M,0.04 ,0.08 ,2.2,2.4 ,2.0 ,1743,4.8  ,0.1 ,-215   ,      
 ,J,Butland         ,STK ,G,0.16 ,0.16 ,2.8,2.8 ,3.2 ,1800,5.0  ,2.1 ,-222   ,      
 ,M,Schneiderlin    ,EVE ,M,-0.06,0.0  ,1.7,2.0 ,2.2 ,1331,4.7  ,0.5 ,-227   ,      
 ,M,Phillips        ,WBA ,M,0.18 ,0.22 ,3.0,3.2 ,1.8 ,1049,5.5  ,0.4 ,-230   ,      
 ,D,Pröpper         ,BHA ,M,0.11 ,0.11 ,2.6,2.6 ,2.2 ,2055,5.3  ,0.1 ,-241   ,      
~,~,~~~~~~~~        ,~~~~,~,~~~~ ,~~~~~,~~~,~~~~,~~~~,~~~ ,~~~~~,~   ,-253.03,~~~~~~
 ,I,Hayden          ,NEW ,M,-0.05,0.0  ,1.8,2.0 ,0.8 ,1182,4.4  ,0.2 ,-260   ,      
 ,J,Shelvey         ,NEW ,M,-0.1 ,0.02 ,1.5,2.1 ,1.6 ,1110,5.2  ,0.3 ,-306   ,      
 ,M,Antonio         ,WHU ,M,0.09 ,0.15 ,2.7,3.1 ,0.2 ,1061,7.4  ,0.2 ,-355   ,      
 ,D,Sánchez         ,TOT ,D,0.18 ,0.2  ,3.1,3.2 ,3.2 ,1370,6.0  ,0.5 ,-360   ,      
 ,M,Olsson          ,SWA ,D,0.16 ,0.16 ,2.8,2.8 ,1.0 ,1886,5.0  ,0.2 ,-367   ,      
 ,J,Hogg            ,HUD ,M,-0.07,0.0  ,1.7,2.0 ,1.4 ,1110,4.4  ,0.3 ,-385   ,      
 ,T,Davies          ,EVE ,M,-0.08,0.0  ,1.6,2.0 ,1.2 ,1036,5.1  ,0.4 ,-427   ,      
 ,S,March           ,BHA ,M,0.02 ,0.18 ,2.1,2.9 ,1.8 ,1314,4.9  ,0.2 ,-436   ,      
 ,E,Pieters         ,STK ,D,-0.04,-0.04,1.8,1.8 ,1.2 ,1660,4.7  ,0.3 ,-483   ,      
 ,T,Smith           ,HUD ,D,0.02 ,0.02 ,2.1,2.1 ,1.4 ,1519,4.8  ,0.3 ,-506   ,      
 ,Y,Cabaye          ,CRY ,M,0.07 ,0.11 ,2.4,2.6 ,1.4 ,1423,5.4  ,0.3 ,-529   ,      
 ,G,Barry           ,WBA ,M,0.09 ,0.09 ,2.4,2.4 ,2.0 ,1537,4.5  ,0.9 ,-568   ,      
 ,J,Hendrick        ,BUR ,M,0.19 ,0.2  ,3.0,3.1 ,2.2 ,1536,5.4  ,0.2 ,-653   ,      
 ,S,Rondón          ,WBA ,F,0.03 ,0.08 ,2.2,2.5 ,2.8 ,1470,6.0  ,0.6 ,-659   ,      
 ,D,Fletcher        ,STK ,M,0.12 ,0.12 ,2.6,2.6 ,1.6 ,1885,4.9  ,0.5 ,-661   ,      
 ,P,Zabaleta        ,WHU ,D,0.1  ,0.1  ,2.5,2.5 ,1.4 ,1939,4.9  ,2.3 ,-731   ,      
 ,G,Wijnaldum       ,LIV ,M,0.09 ,0.14 ,2.6,2.9 ,1.8 ,1503,6.6  ,2.1 ,-757   ,      
 ,T,Ince            ,HUD ,M,0.13 ,0.13 ,2.7,2.7 ,3.4 ,1912,5.5  ,0.4 ,-783   ,      
 ,R,Brady           ,BUR ,M,0.32 ,0.36 ,3.7,3.9 ,0.0 ,1277,5.3  ,0.5 ,-844   ,      
 ,R,Sobhi           ,STK ,M,0.09 ,0.16 ,2.4,2.7 ,3.0 ,884 ,4.5  ,0.6 ,-863   ,      
 ,A,Carrillo        ,WAT ,M,0.11 ,0.22 ,2.6,3.2 ,4.4 ,1332,5.5  ,0.1 ,-880   ,      
 ,M,Suttner         ,BHA ,D,0.26 ,0.26 ,3.1,3.1 ,2.0 ,1080,4.3  ,0.5 ,-887   ,      
 ,S,Defour          ,BUR ,M,0.13 ,0.13 ,2.7,2.7 ,2.8 ,1908,5.4  ,0.4 ,-982   ,      
 ,S,Steve Cook      ,BOU ,D,0.15 ,0.23 ,2.7,3.1 ,2.8 ,1513,4.7  ,1.2 ,-991   ,      
 ,K,Darlow          ,NEW ,G,0.43 ,0.43 ,3.9,3.9 ,3.6 ,630 ,4.4  ,0.3 ,-1025  ,      
 ,J,Holebas         ,WAT ,D,0.06 ,0.1  ,2.3,2.5 ,0.4 ,1211,4.8  ,0.4 ,-1057  ,      
 ,R,Shawcross       ,STK ,D,0.06 ,0.08 ,2.3,2.4 ,0.6 ,1291,4.8  ,0.7 ,-1157  ,      
 ,D,de Gea          ,MUN ,G,0.56 ,0.56 ,5.3,5.3 ,4.4 ,2070,5.9  ,42.8,-1251  ,      
 ,J,Henderson       ,LIV ,M,0.17 ,0.21 ,2.9,3.1 ,0.2 ,1272,5.3  ,1.1 ,-1301  ,      
 ,A,Knockaert       ,BHA ,M,0.14 ,0.21 ,2.8,3.2 ,3.0 ,1606,5.6  ,0.6 ,-1302  ,      
 ,J,Allen           ,STK ,M,0.2  ,0.2  ,3.0,3.0 ,4.2 ,1872,5.1  ,1.5 ,-1413  ,      
 ,A,Nyom            ,WBA ,D,0.13 ,0.19 ,2.6,2.9 ,0.6 ,1330,4.8  ,1.2 ,-1461  ,      
 ,P,Jagielka        ,EVE ,D,-0.06,-0.04,1.7,1.8 ,1.8 ,1174,4.7  ,2.5 ,-1467  ,      
 ,J,King            ,BOU ,F,0.13 ,0.13 ,2.9,2.9 ,1.8 ,1465,7.0  ,1.0 ,-1484  ,      
 ,C,Clark           ,NEW ,D,0.32 ,0.34 ,3.4,3.5 ,3.4 ,1475,4.4  ,2.1 ,-1524  ,      
 ,C,Benteke         ,CRY ,F,0.05 ,0.08 ,2.4,2.6 ,2.8 ,1388,7.6  ,2.2 ,-1567  ,      
 ,W,Reid            ,WHU ,D,0.13 ,0.13 ,2.6,2.6 ,1.0 ,1426,4.8  ,0.7 ,-1660  ,      
 ,S,Dann            ,CRY ,D,-0.02,0.0  ,1.9,2.0 ,0.6 ,1434,4.7  ,0.3 ,-1662  ,      
 ,D,Tadic           ,SOU ,M,0.23 ,0.23 ,3.4,3.4 ,3.4 ,1612,6.2  ,1.6 ,-1664  ,      
 ,C,Cédric          ,SOU ,D,0.09 ,0.09 ,2.4,2.4 ,0.0 ,1444,4.7  ,2.5 ,-1693  ,      
 ,D,Yedlin          ,NEW ,D,0.07 ,0.07 ,2.3,2.3 ,3.2 ,1625,4.4  ,0.8 ,-1695  ,      
