O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,min ,price,%   ,txn    ,123000
 ,D,Simpson         ,LEI ,D,0.07 ,0.07 ,2.3,2.3 ,1659,4.4  ,2.8 ,-29928 ,      
 ,T,Smith           ,HUD ,D,0.08 ,0.06 ,2.4,2.3 ,1323,4.8  ,0.3 ,-32    ,      
 ,J,Manquillo       ,NEW ,D,0.05 ,0.05 ,2.2,2.2 ,1530,4.4  ,1.1 ,553    ,      
 ,P,Jagielka        ,EVE ,D,0.0  ,0.04 ,2.0,2.2 ,994 ,4.7  ,2.6 ,-3312  ,      
 ,W,Morgan          ,LEI ,D,0.04 ,0.04 ,2.2,2.2 ,1800,4.5  ,2.9 ,-3931  ,      
 ,V,van Dijk        ,SOU ,D,0.02 ,0.04 ,2.1,2.2 ,993 ,5.4  ,2.1 ,15203  ,      
 ,D,Janmaat         ,WAT ,D,0.13 ,0.04 ,2.6,2.2 ,585 ,4.8  ,0.3 ,1827   ,      
 ,W,Hoedt           ,SOU ,D,0.04 ,0.04 ,2.2,2.2 ,990 ,5.0  ,0.0 ,-41    ,      
 ,J,Schlupp         ,CRY ,D,0.02 ,0.02 ,2.1,2.1 ,1497,4.7  ,0.4 ,-1008  ,      
 ,S,Francis         ,BOU ,D,-0.09,0.0  ,1.6,2.0 ,1342,4.3  ,0.9 ,-887   ,      
 ,S,Dann            ,CRY ,D,0.0  ,0.0  ,2.0,2.0 ,1415,4.7  ,0.6 ,-875   ,      
 ,J,Ward            ,CRY ,D,-0.02,-0.02,1.9,1.9 ,1214,4.7  ,0.2 ,-457   ,      
 ,D,Yedlin          ,NEW ,D,-0.02,-0.02,1.9,1.9 ,1355,4.4  ,0.6 ,2375   ,      
 ,G,Cameron         ,STK ,D,-0.07,-0.05,1.7,1.8 ,938 ,4.3  ,0.3 ,-240   ,      
 ,A,Mariappa        ,WAT ,D,-0.1 ,-0.05,1.6,1.8 ,1029,4.1  ,5.8 ,-15165 ,      
 ,A,Adam Smith      ,BOU ,D,-0.1 ,-0.08,1.5,1.6 ,1406,4.8  ,0.4 ,-304   ,      
 ,E,Pieters         ,STK ,D,-0.09,-0.09,1.6,1.6 ,1590,4.7  ,0.4 ,-1537  ,      
 ,F,Lejeune         ,NEW ,D,-0.14,-0.11,1.4,1.5 ,1023,4.4  ,0.2 ,-749   ,      
 ,K,Wimmer          ,STK ,D,-0.19,-0.12,1.2,1.5 ,1096,4.2  ,0.3 ,-92    ,      
