O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,min ,price,%   ,txn    ,123000
 ,A,Chamberlain     ,LIV ,M,0.09 ,0.34 ,2.5,3.9 ,952 ,5.6  ,1.6 ,2495   ,      
 ,M,Albrighton      ,LEI ,M,0.22 ,0.33 ,3.2,3.8 ,1395,5.5  ,1.9 ,2492   ,      
 ,K,Walker          ,MCI ,D,0.35 ,0.41 ,4.3,4.7 ,1573,6.6  ,13.8,2450   ,      
 ,D,Yedlin          ,NEW ,D,-0.02,-0.02,1.9,1.9 ,1355,4.4  ,0.6 ,2375   ,      
 ,J,Mata            ,MUN ,M,0.34 ,0.47 ,4.3,5.2 ,994 ,6.8  ,2.4 ,2224   ,      
 ,L,Koscielny       ,ARS ,D,0.32 ,0.32 ,3.9,3.9 ,1524,6.0  ,2.4 ,2073   ,      
 ,D,Gosling         ,BOU ,M,0.13 ,0.27 ,2.6,3.3 ,623 ,4.8  ,0.1 ,1935   ,      
 ,D,Janmaat         ,WAT ,D,0.13 ,0.04 ,2.6,2.2 ,585 ,4.8  ,0.3 ,1827   ,      
 ,A,Townsend        ,CRY ,M,0.21 ,0.23 ,3.2,3.3 ,1708,5.6  ,1.0 ,1491   ,      
 ,K,Gibbs           ,WBA ,D,0.12 ,0.14 ,2.6,2.7 ,1446,5.0  ,0.4 ,1296   ,      
 ,T,Ince            ,HUD ,M,0.16 ,0.16 ,2.9,2.9 ,1678,5.5  ,0.5 ,1238   ,      
 ,M,Zanka           ,HUD ,D,0.22 ,0.22 ,3.0,3.0 ,1800,4.6  ,8.4 ,1203   ,      
 ,L,Milivojevic     ,CRY ,M,0.17 ,0.22 ,2.8,3.0 ,1459,4.6  ,0.5 ,1124   ,      
 ,J,Collins         ,WHU ,D,0.47 ,0.47 ,4.0,4.0 ,417 ,4.3  ,0.2 ,1115   ,      
 ,J,Tomkins         ,CRY ,D,0.16 ,0.26 ,2.7,3.1 ,862 ,4.3  ,0.5 ,1037   ,      
 ,G,Cahill          ,CHE ,D,0.19 ,0.35 ,3.2,4.2 ,1044,6.2  ,3.1 ,970    ,      
 ,M,Suttner         ,BHA ,D,0.3  ,0.3  ,3.3,3.3 ,990 ,4.3  ,0.5 ,701    ,      
 ,H,Gomes           ,WAT ,G,0.2  ,0.2  ,2.9,2.9 ,1768,4.5  ,2.5 ,633    ,      
 ,J,Manquillo       ,NEW ,D,0.05 ,0.05 ,2.2,2.2 ,1530,4.4  ,1.1 ,553    ,      
 ,S,Aurier          ,TOT ,D,0.31 ,0.36 ,3.8,4.1 ,726 ,5.9  ,0.5 ,476    ,      
 ,K,De Bruyne       ,MCI ,M,0.4  ,0.4  ,6.1,6.1 ,1706,10.3 ,26.0,407    ,      
 ,E,Mangala         ,MCI ,D,-0.02,0.16 ,1.9,2.8 ,393 ,5.0  ,0.3 ,399    ,      
