W,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,gf ,111110
 ,N,Redmond         ,SOU ,M,0.06 ,0.06 ,2.3,2.3 ,2.5 ,1061,5.3  ,0.3 ,-31   ,0  ,      
 ,I,Diop            ,WHU ,D,-0.02,0.0  ,1.9,2.0 ,1.8 ,900 ,4.3  ,0.6 ,-38   ,0  ,      
m,F,Kiko Femenía    ,WAT ,D,0.16 ,-0.47,2.7,0.0 ,5.5 ,504 ,4.3  ,1.9 ,-79   ,0  ,      
 ,D,Jota            ,WOL ,M,0.03 ,0.25 ,2.2,3.5 ,0.5 ,740 ,5.9  ,1.0 ,-79   ,0  ,      
 ,K,Walker          ,MCI ,D,0.58 ,-0.31,5.8,0.0 ,2.0 ,810 ,6.5  ,13.1,-86   ,0  ,      
o,F,Balbuena        ,WHU ,D,0.14 ,0.43 ,2.6,3.9 ,3.5 ,1080,4.4  ,0.9 ,-88   ,0  ,      
 ,L,Milivojevic     ,CRY ,M,0.17 ,0.18 ,3.0,3.1 ,4.3 ,1080,6.0  ,2.7 ,-91   ,0  ,      
 ,C,Löwe            ,HUD ,D,0.16 ,0.2  ,2.7,2.9 ,3.3 ,919 ,4.4  ,0.2 ,-110  ,-1 ,      
 ,A,Mooy            ,HUD ,M,0.02 ,0.02 ,2.1,2.1 ,2.0 ,990 ,5.2  ,1.4 ,-131  ,0  ,      
 ,C,Cathcart        ,WAT ,D,0.27 ,-0.44,3.2,0.0 ,4.0 ,1071,4.5  ,1.0 ,-136  ,0  ,      
 ,S,Morrison        ,CAR ,D,0.06 ,0.06 ,2.3,2.3 ,1.0 ,1059,4.8  ,0.4 ,-147  ,-1 ,      
 ,G,Wijnaldum       ,LIV ,M,0.24 ,0.75 ,3.3,6.1 ,3.0 ,992 ,5.5  ,1.4 ,-154  ,0  ,      
 ,A,Lennon          ,BUR ,M,0.22 ,0.22 ,3.1,3.1 ,1.8 ,952 ,5.0  ,1.0 ,-155  ,0  ,      
 ,K,Zouma           ,EVE ,D,0.22 ,0.12 ,3.1,2.6 ,2.3 ,721 ,5.0  ,0.2 ,-157  ,-1 ,      
 ,M,Salah           ,LIV ,M,0.33 ,0.23 ,6.3,5.0 ,8.3 ,1031,13.0 ,35.6,-161  ,0  ,      
 ,P,Billing         ,HUD ,M,0.11 ,0.11 ,2.5,2.5 ,2.0 ,1046,4.5  ,2.2 ,-168  ,0  ,      
 ,A,McCarthy        ,SOU ,G,0.4  ,-0.44,3.8,0.0 ,4.3 ,1080,4.5  ,3.5 ,-173  ,0  ,      
 ,A,Alisson         ,LIV ,G,0.49 ,-0.35,4.8,0.0 ,4.5 ,1080,5.7  ,20.3,-183  ,0  ,      
 ,M,Sakho           ,CRY ,D,0.16 ,0.16 ,2.8,2.8 ,1.3 ,1080,5.0  ,1.4 ,-188  ,0  ,      
 ,J,Bennett         ,CAR ,D,0.16 ,0.16 ,2.7,2.7 ,0.8 ,810 ,4.5  ,0.6 ,-209  ,-1 ,      
m,L,Fabianski       ,WHU ,G,0.4  ,-0.44,3.8,0.0 ,3.5 ,1080,4.5  ,13.9,-253  ,0  ,      
 ,R,Bennett         ,WOL ,D,0.21 ,-0.48,2.9,0.0 ,0.5 ,990 ,4.2  ,11.5,-253  ,0  ,      
o,R,Barkley         ,CHE ,M,0.43 ,0.87 ,4.6,7.2 ,6.3 ,451 ,6.0  ,10.0,-270  ,0  ,      
 ,A,Westwood        ,BUR ,M,0.11 ,0.24 ,2.5,3.1 ,1.8 ,751 ,4.5  ,1.9 ,-298  ,0  ,      
