W,I,web_name        ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn    ,gf ,122417
o,C,Chambers        ,FUL ,D,4.2 ,54 ,-0.17,-0.21,1.3,1.1 ,2.0 ,0.9 ,924    ,2  ,      
~,~,~~~~~~~~        ,~~~~,~,~~  ,~~ ,~~~~ ,~~~~~,~~~,~~~~,~~~~,~   ,861.21 ,~~ ,~~~~~~
 ,J,Tarkowski       ,BUR ,D,4.7 ,79 ,0.23 ,0.28 ,3.1,3.3 ,3.0 ,4.2 ,794    ,0  ,      
 ,H,Maguire         ,LEI ,D,5.4 ,68 ,0.33 ,0.33 ,3.8,3.8 ,1.6 ,9.1 ,786    ,0  ,      
 ,T,Deeney          ,WAT ,F,5.8 ,76 ,0.19 ,0.21 ,3.1,3.2 ,2.6 ,2.6 ,738    ,0  ,      
 ,R,Bennett         ,WOL ,D,4.2 ,94 ,0.14 ,0.14 ,2.6,2.6 ,1.8 ,10.6,474    ,0  ,      
 ,B,Chilwell        ,LEI ,D,5.1 ,94 ,0.31 ,0.27 ,3.6,3.4 ,3.0 ,2.4 ,415    ,0  ,      
 ,J,Tomkins         ,CRY ,D,4.3 ,81 ,0.14 ,0.16 ,2.6,2.7 ,2.0 ,2.5 ,366    ,0  ,      
 ,S,Francis         ,BOU ,D,4.4 ,73 ,0.11 ,0.14 ,2.5,2.6 ,2.0 ,0.4 ,327    ,1  ,      
 ,C,Cathcart        ,WAT ,D,4.5 ,99 ,0.16 ,0.11 ,2.7,2.5 ,2.0 ,0.9 ,228    ,0  ,      
 ,C,Taylor          ,BUR ,D,4.4 ,89 ,-0.02,0.0  ,1.9,2.0 ,2.0 ,0.3 ,224    ,1  ,      
 ,R,Patrício        ,WOL ,G,4.6 ,100,0.35 ,0.35 ,3.6,3.6 ,2.8 ,8.9 ,154    ,0  ,      
 ,N,Matic           ,MUN ,M,5.0 ,81 ,-0.06,-0.06,1.7,1.7 ,1.8 ,0.6 ,144    ,0  ,      
 ,D,Odoi            ,FUL ,D,4.4 ,86 ,-0.2 ,-0.27,1.1,0.8 ,1.8 ,0.1 ,127    ,2  ,      
