W,I,web_name       ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min,price,%   ,txn    ,gf ,092121
 ,H,Costa          ,WOL ,M,0.04 ,0.06 ,2.2,2.3 ,2.7 ,322,4.9  ,0.6 ,-876   ,-3 ,      
 ,A,Westwood       ,BUR ,M,0.0  ,0.04 ,2.0,2.2 ,1.7 ,371,4.5  ,1.8 ,-6594  ,-7 ,      
 ,A,Lennon         ,BUR ,M,0.04 ,0.04 ,2.2,2.2 ,2.0 ,450,5.0  ,0.4 ,-718   ,-3 ,      
 ,J,McArthur       ,CRY ,M,0.04 ,0.04 ,2.2,2.2 ,2.0 ,450,4.9  ,1.1 ,-3834  ,-6 ,      
 ,A,Townsend       ,CRY ,M,0.07 ,0.03 ,2.4,2.2 ,2.3 ,416,5.9  ,1.5 ,-6140  ,-7 ,      
 ,L,Milivojevic    ,CRY ,M,0.06 ,0.03 ,2.4,2.2 ,2.3 ,450,6.3  ,4.3 ,-26969 ,-11,      
 ,F,Fernandinho    ,MCI ,M,0.19 ,0.04 ,3.0,2.2 ,3.3 ,450,5.4  ,4.6 ,-329   ,0  ,      
 ,M,Özil           ,ARS ,M,0.24 ,0.0  ,4.0,2.0 ,4.0 ,330,8.3  ,2.9 ,10678  ,7  ,      
 ,J,Cork           ,BUR ,M,-0.04,0.0  ,1.8,2.0 ,1.7 ,450,4.9  ,0.6 ,-3288  ,-10,      
 ,D,Hoilett        ,CAR ,M,0.0  ,0.0  ,2.0,2.0 ,1.0 ,352,5.2  ,0.1 ,-738   ,-13,      
 ,W,Ndidi          ,LEI ,M,0.0  ,0.0  ,2.0,2.0 ,1.7 ,450,4.9  ,0.7 ,-1420  ,-4 ,      
 ,N,Mendy          ,LEI ,M,0.0  ,0.0  ,2.0,2.0 ,1.7 ,360,4.5  ,1.0 ,-1389  ,-2 ,      
 ,F,Fred           ,MUN ,M,0.0  ,0.0  ,2.0,2.0 ,0.7 ,255,5.7  ,2.1 ,-18563 ,-16,      
 ,M,Diamé          ,NEW ,M,0.0  ,0.0  ,2.0,2.0 ,2.0 ,450,5.0  ,0.1 ,-118   ,-2 ,      
 ,E,Dier           ,TOT ,M,0.0  ,0.0  ,2.0,2.0 ,1.7 ,331,4.9  ,1.5 ,-3033  ,-4 ,      
 ,M,Dembélé        ,TOT ,M,-0.12,0.0  ,1.4,2.0 ,1.7 ,283,4.9  ,1.3 ,-1902  ,-3 ,      
 ,A,Masuaku        ,WHU ,M,-0.04,0.0  ,1.8,2.0 ,1.0 ,360,4.5  ,1.8 ,-7731  ,-8 ,      
 ,M,Antonio        ,WHU ,M,-0.03,0.0  ,1.8,2.0 ,2.0 ,252,6.8  ,1.0 ,-1973  ,-4 ,      
 ,R,Snodgrass      ,WHU ,M,-0.15,0.0  ,1.2,2.0 ,1.0 ,248,5.4  ,0.1 ,-652   ,-12,      
 ,D,Gosling        ,BOU ,M,-0.08,-0.04,1.6,1.8 ,1.3 ,450,5.0  ,0.1 ,-150   ,-3 ,      
 ,D,Pröpper        ,BHA ,M,-0.04,-0.04,1.8,1.8 ,1.7 ,433,4.9  ,0.1 ,-290   ,-5 ,      
 ,J,Wilshere       ,WHU ,M,-0.04,-0.04,1.8,1.8 ,1.3 ,333,4.9  ,2.1 ,-32265 ,-27,      
 ,A,Ramsey         ,ARS ,M,-0.03,-0.04,1.8,1.7 ,2.3 ,334,7.4  ,1.2 ,-1469  ,-2 ,      
 ,H,Arter          ,CAR ,M,-0.1 ,-0.06,1.5,1.7 ,1.3 ,315,5.0  ,0.2 ,-1111  ,-10,      
 ,I,Gueye          ,EVE ,M,-0.04,-0.06,1.8,1.7 ,1.0 ,360,4.9  ,0.3 ,-883   ,-5 ,      
 ,T,Davies         ,EVE ,M,-0.06,-0.06,1.7,1.7 ,1.0 ,246,5.3  ,0.2 ,-677   ,-6 ,      
 ,K,McDonald       ,FUL ,M,-0.05,-0.07,1.8,1.7 ,2.0 ,360,4.4  ,0.4 ,1387   ,6  ,      
 ,M,Guendouzi      ,ARS ,M,-0.13,-0.11,1.4,1.5 ,1.0 ,349,4.5  ,3.1 ,-11105 ,-6 ,      
 ,D,Stephens       ,BHA ,M,-0.14,-0.11,1.4,1.5 ,1.3 ,450,4.4  ,6.9 ,-25140 ,-6 ,      
 ,M,Schneiderlin   ,EVE ,M,0.0  ,-0.11,2.0,1.5 ,0.7 ,246,4.5  ,2.0 ,-6351  ,-6 ,      
 ,M,Albrighton     ,LEI ,M,0.25 ,-0.09,3.3,1.5 ,4.0 ,171,5.3  ,0.6 ,920    ,3  ,      
 ,M,Noble          ,WHU ,M,0.14 ,-0.1 ,2.7,1.5 ,1.7 ,236,4.9  ,0.3 ,-103   ,-1 ,      
 ,R,Kenedy         ,NEW ,M,-0.14,-0.14,1.3,1.3 ,0.7 ,254,5.0  ,1.2 ,-7266  ,-11,      
 ,L,Sané           ,MCI ,M,0.2  ,-0.22,3.8,0.0 ,3.3 ,120,9.2  ,4.1 ,13719  ,6  ,      
 ,A,Yarmolenko     ,WHU ,M,0.18 ,-0.29,3.2,0.0 ,5.0 ,187,6.8  ,0.8 ,11948  ,27 ,      
 ,A,Traoré         ,WOL ,M,0.15 ,-0.36,2.8,0.0 ,3.3 ,115,5.5  ,0.7 ,-4963  ,-13,      
