O,I,web_name      ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,gf ,021211
 ,T,Davies        ,EVE ,M,-0.04,0.1  ,1.8,2.5 ,2.0 ,1261,5.1  ,0.4 ,652   ,3  ,      
 ,J,Stanislas     ,BOU ,M,0.31 ,0.34 ,3.8,4.0 ,4.8 ,895 ,5.9  ,0.5 ,639   ,2  ,      
 ,S,Francis       ,BOU ,D,-0.07,-0.02,1.7,1.9 ,2.0 ,1972,4.3  ,1.5 ,401   ,0  ,      
 ,T,Deeney        ,WAT ,F,0.06 ,0.05 ,2.4,2.3 ,3.0 ,1033,6.3  ,0.4 ,374   ,2  ,      
 ,K,Schmeichel    ,LEI ,G,0.34 ,0.34 ,3.7,3.7 ,3.3 ,2430,5.0  ,5.0 ,301   ,0  ,      
 ,R,van La Parra  ,HUD ,M,0.02 ,0.08 ,2.1,2.4 ,3.0 ,1463,4.8  ,0.1 ,269   ,5  ,      
 ,C,Dawson        ,WBA ,D,0.25 ,0.25 ,3.2,3.2 ,0.8 ,1430,4.8  ,1.3 ,235   ,0  ,      
 ,J,Shelvey       ,NEW ,M,-0.08,0.02 ,1.6,2.1 ,1.8 ,1380,5.2  ,0.3 ,210   ,1  ,      
 ,J,Matip         ,LIV ,D,0.24 ,0.3  ,3.3,3.6 ,2.6 ,1723,5.4  ,1.8 ,201   ,0  ,      
~,~,~~~~~~~~      ,~~~~,~,~~~~ ,~~~~~,~~~,~~~~,~~~~,~~~ ,~~~~~,~   ,192.19,~~ ,~~~~~~
 ,E,Pieters       ,STK ,D,0.06 ,0.06 ,2.3,2.3 ,3.4 ,2020,4.7  ,0.4 ,180   ,1  ,      
 ,R,Fraser        ,BOU ,M,0.33 ,0.49 ,3.7,4.5 ,4.8 ,1311,5.1  ,1.1 ,158   ,0  ,      
 ,B,Foster        ,WBA ,G,0.3  ,0.3  ,3.3,3.3 ,1.8 ,2250,4.4  ,9.6 ,88    ,0  ,      
 ,G,Bong          ,BHA ,D,0.2  ,0.2  ,2.9,2.9 ,1.5 ,1260,4.4  ,0.2 ,71    ,1  ,      
 ,O,Karnezis      ,WAT ,G,0.22 ,0.4  ,3.0,3.8 ,3.8 ,391 ,4.5  ,0.0 ,24    ,0.0,      
 ,R,Pereyra       ,WAT ,M,-0.02,0.07 ,1.9,2.4 ,3.0 ,840 ,5.8  ,0.1 ,23    ,0  ,      
 ,D,Pröpper       ,BHA ,M,0.11 ,0.11 ,2.6,2.6 ,2.8 ,2415,5.3  ,0.1 ,18    ,0  ,      
 ,M,Phillips      ,WBA ,M,0.13 ,0.19 ,2.7,3.0 ,0.8 ,1264,5.4  ,0.4 ,11    ,0  ,      
 ,W,Ndidi         ,LEI ,M,0.1  ,0.1  ,2.5,2.5 ,2.5 ,2400,4.9  ,0.5 ,6     ,0  ,      
 ,C,Fuchs         ,LEI ,D,0.13 ,0.19 ,2.6,2.9 ,1.0 ,1564,4.8  ,2.0 ,5     ,0  ,      
 ,Y,Cabaye        ,CRY ,M,0.06 ,0.11 ,2.3,2.6 ,1.8 ,1741,5.3  ,0.2 ,1     ,0  ,      
 ,O,Oriol Romeu   ,SOU ,M,0.0  ,0.02 ,2.0,2.1 ,1.3 ,2103,4.3  ,2.1 ,-3    ,0  ,      
 ,I,Hayden        ,NEW ,M,-0.07,0.0  ,1.7,2.0 ,1.0 ,1298,4.4  ,0.2 ,-5    ,0  ,      
 ,J,Hogg          ,HUD ,M,-0.07,-0.02,1.7,1.9 ,1.5 ,1458,4.4  ,0.2 ,-9    ,0  ,      
 ,W,Hoedt         ,SOU ,D,0.06 ,0.06 ,2.3,2.3 ,2.3 ,1530,5.0  ,0.1 ,-10   ,0  ,      
 ,J,Ward          ,CRY ,D,-0.02,-0.02,1.9,1.9 ,0.3 ,1304,4.7  ,0.2 ,-11   ,0  ,      
 ,J,Holebas       ,WAT ,D,0.08 ,0.13 ,2.4,2.6 ,2.0 ,1481,4.8  ,0.4 ,-11   ,0  ,      
 ,S,Rondón        ,WBA ,F,0.05 ,0.1  ,2.3,2.6 ,2.3 ,1727,6.0  ,0.6 ,-13   ,0  ,      
 ,E,Kachunga      ,HUD ,M,0.11 ,0.09 ,2.6,2.5 ,0.0 ,1253,5.7  ,0.1 ,-17   ,0  ,      
 ,J,Cork          ,BUR ,M,0.13 ,0.13 ,2.6,2.6 ,1.8 ,2430,4.6  ,2.9 ,-23   ,0  ,      
 ,M,Lemina        ,SOU ,M,0.06 ,0.15 ,2.3,2.7 ,3.3 ,1265,4.8  ,0.2 ,-26   ,0  ,      
