O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn    ,011220
 ,T,Ince            ,HUD ,M,0.15 ,0.15 ,2.8,2.8 ,3.4 ,1822,5.5  ,0.5 ,-432   ,      
 ,J,Hendrick        ,BUR ,M,0.2  ,0.22 ,3.1,3.2 ,2.4 ,1474,5.4  ,0.2 ,-482   ,      
 ,W,Ndidi           ,LEI ,M,0.1  ,0.1  ,2.5,2.5 ,1.4 ,1950,4.9  ,0.5 ,-482   ,      
 ,J,Evans           ,WBA ,D,0.08 ,0.1  ,2.4,2.5 ,2.8 ,1651,4.9  ,0.9 ,-484   ,      
 ,J,Ward            ,CRY ,D,-0.02,-0.02,1.9,1.9 ,0.0 ,1214,4.7  ,0.2 ,-485   ,      
 ,W,Hoedt           ,SOU ,D,0.08 ,0.08 ,2.4,2.4 ,2.4 ,1080,5.0  ,0.1 ,-551   ,      
 ,I,Gueye           ,EVE ,M,0.04 ,0.04 ,2.2,2.2 ,2.4 ,1669,4.8  ,0.8 ,-561   ,      
 ,F,Lejeune         ,NEW ,D,-0.14,-0.12,1.4,1.5 ,0.4 ,1023,4.3  ,0.1 ,-583   ,      
 ,S,March           ,BHA ,M,0.04 ,0.18 ,2.2,2.9 ,2.0 ,1269,4.9  ,0.2 ,-609   ,      
 ,M,Antonio         ,WHU ,M,0.09 ,0.15 ,2.7,3.1 ,0.8 ,1061,7.4  ,0.2 ,-613   ,      
 ,K,Gibbs           ,WBA ,D,0.14 ,0.16 ,2.7,2.8 ,3.0 ,1626,5.0  ,0.5 ,-722   ,      
 ,M,Sissoko         ,TOT ,M,0.0  ,0.09 ,2.0,2.5 ,1.8 ,997 ,5.4  ,0.4 ,-745   ,      
 ,J,Hogg            ,HUD ,M,-0.07,0.0  ,1.7,2.0 ,0.8 ,1020,4.4  ,0.3 ,-772   ,      
 ,E,Pieters         ,STK ,D,-0.04,-0.04,1.8,1.8 ,1.6 ,1660,4.7  ,0.3 ,-834   ,      
 ,B,Bernardo Silva  ,MCI ,M,0.05 ,0.23 ,2.4,3.7 ,3.0 ,651 ,7.4  ,0.6 ,-877   ,      
 ,M,Özil            ,ARS ,M,0.27 ,0.31 ,4.5,4.9 ,4.2 ,1460,9.3  ,2.4 ,-900   ,      
 ,G,Cahill          ,CHE ,D,0.21 ,0.34 ,3.3,4.1 ,4.0 ,1224,6.2  ,3.1 ,-936   ,      
 ,C,Azpilicueta     ,CHE ,D,0.49 ,0.49 ,5.4,5.4 ,6.4 ,1890,7.0  ,23.0,-943   ,      
 ,D,Sánchez         ,TOT ,D,0.15 ,0.17 ,2.9,3.0 ,2.0 ,1280,6.0  ,0.5 ,-1041  ,      
 ,J,Holebas         ,WAT ,D,0.06 ,0.1  ,2.3,2.5 ,0.6 ,1211,4.9  ,0.5 ,-1046  ,      
 ,S,Arfield         ,BUR ,M,0.31 ,0.39 ,3.5,3.9 ,3.0 ,1175,4.9  ,0.4 ,-1080  ,      
 ,W,Reid            ,WHU ,D,0.13 ,0.13 ,2.6,2.6 ,1.0 ,1426,4.8  ,0.7 ,-1126  ,      
 ,P,Cech            ,ARS ,G,0.31 ,0.31 ,3.7,3.7 ,2.6 ,1980,5.4  ,4.9 ,-1341  ,      
 ,D,Danilo          ,MCI ,D,0.5  ,0.82 ,4.5,6.1 ,4.4 ,681 ,5.0  ,2.6 ,-1371  ,      
 ,C,Kouyaté         ,WHU ,M,0.12 ,0.18 ,2.6,2.9 ,1.4 ,1366,5.0  ,0.4 ,-1463  ,      
 ,G,Barry           ,WBA ,M,0.09 ,0.07 ,2.4,2.3 ,2.6 ,1447,4.5  ,0.9 ,-1480  ,      
 ,D,Fletcher        ,STK ,M,0.12 ,0.12 ,2.6,2.6 ,1.6 ,1795,4.9  ,0.5 ,-1510  ,      
 ,M,Lanzini         ,WHU ,M,0.24 ,0.28 ,3.6,3.9 ,4.6 ,1302,6.8  ,2.1 ,-1527  ,      
 ,K,Zouma           ,STK ,D,0.09 ,0.09 ,2.5,2.5 ,1.0 ,1685,5.4  ,1.9 ,-1631  ,      
 ,G,Wijnaldum       ,LIV ,M,0.09 ,0.14 ,2.6,2.9 ,2.0 ,1413,6.6  ,2.1 ,-1707  ,      
 ,R,Sobhi           ,STK ,M,0.11 ,0.16 ,2.5,2.7 ,3.2 ,855 ,4.5  ,0.6 ,-1749  ,      
 ,T,Cleverley       ,WAT ,M,0.12 ,0.12 ,2.6,2.6 ,1.4 ,1795,5.0  ,0.6 ,-1784  ,      
 ,R,Brady           ,BUR ,M,0.31 ,0.35 ,3.7,3.9 ,0.0 ,1277,5.4  ,0.5 ,-1808  ,      
