W,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min,price,%   ,txn    ,gf ,092821
~,~,~~~~~~~~        ,~~~~,~,~~~~ ,~~~~~,~~~,~~~~,~~~~,~~~,~~~~~,~   ,1351.9 ,~~ ,~~~~~~
 ,A,Masuaku         ,WHU ,M,0.0  ,0.0  ,2.0,2.0 ,1.3 ,450,4.4  ,1.8 ,1323   ,1  ,      
 ,S,Long            ,SOU ,F,-0.04,0.0  ,1.8,2.0 ,2.0 ,331,4.8  ,1.3 ,1219   ,2  ,      
 ,M,Dubravka        ,NEW ,G,0.36 ,0.36 ,3.8,3.8 ,4.7 ,540,5.0  ,0.5 ,1208   ,4  ,      
 ,D,Ward            ,CAR ,M,0.13 ,0.38 ,2.6,3.7 ,3.7 ,280,4.5  ,0.6 ,1033   ,3  ,      
 ,I,Diop            ,WHU ,D,0.0  ,0.0  ,2.0,2.0 ,3.3 ,360,4.3  ,0.5 ,1000   ,4  ,      
 ,B,Mee             ,BUR ,D,0.31 ,0.31 ,3.5,3.5 ,3.0 ,540,4.9  ,3.2 ,965    ,1  ,      
 ,C,Coady           ,WOL ,D,0.27 ,0.27 ,3.2,3.2 ,5.3 ,540,4.5  ,0.5 ,939    ,3  ,      
 ,F,Fernández       ,NEW ,D,0.23 ,0.23 ,3.0,3.0 ,4.0 ,360,4.4  ,0.2 ,834    ,7  ,      
 ,M,Keane           ,EVE ,D,0.51 ,0.51 ,4.5,4.5 ,0.3 ,360,4.9  ,1.2 ,736    ,1  ,      
 ,B,Alli            ,TOT ,M,0.22 ,0.31 ,4.0,4.8 ,1.0 ,361,9.0  ,4.0 ,486    ,0  ,      
 ,P,Zabaleta        ,WHU ,D,0.16 ,0.16 ,2.7,2.7 ,2.7 ,270,4.3  ,1.9 ,371    ,0  ,      
 ,E,Capoue          ,WAT ,M,0.16 ,0.16 ,2.8,2.8 ,2.3 ,540,5.0  ,0.4 ,333    ,1  ,      
 ,K,McDonald        ,FUL ,M,-0.09,-0.05,1.6,1.8 ,1.7 ,405,4.4  ,0.4 ,261    ,1  ,      
 ,A,Valencia        ,MUN ,D,0.08 ,0.08 ,2.5,2.5 ,3.3 ,360,6.5  ,0.8 ,248    ,1  ,      
 ,K,Zouma           ,EVE ,D,-0.14,-0.14,1.3,1.3 ,1.3 ,271,5.0  ,0.1 ,182    ,3  ,      
 ,M,Lowton          ,BUR ,D,0.21 ,0.21 ,3.0,3.0 ,1.7 ,360,4.8  ,0.5 ,116    ,0  ,      
 ,P,Dummett         ,NEW ,D,0.16 ,0.16 ,2.7,2.7 ,2.7 ,540,4.5  ,0.2 ,107    ,1  ,      
 ,T,Alderweireld    ,TOT ,D,0.07 ,0.07 ,2.4,2.4 ,1.3 ,440,5.9  ,2.6 ,3      ,0  ,      
 ,V,Camarasa        ,CAR ,M,0.22 ,0.22 ,3.0,3.0 ,3.3 ,417,4.5  ,0.4 ,-9     ,0  ,      
 ,M,Noble           ,WHU ,M,0.16 ,0.16 ,2.8,2.8 ,2.7 ,320,4.9  ,0.3 ,-54    ,0  ,      
