O,I,web_name      ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,gf ,031610
 ,N,Kanté         ,CHE ,M,0.24 ,0.24 ,3.2,3.2 ,2.7 ,2274,4.9  ,11.3,-1603 ,0  ,      
 ,J,Allen         ,STK ,M,0.24 ,0.24 ,3.2,3.2 ,2.7 ,2502,5.1  ,2.0 ,177   ,0  ,      
 ,S,Clucas        ,SWA ,M,0.15 ,0.26 ,2.7,3.2 ,2.3 ,1667,4.7  ,0.6 ,-3306 ,-9 ,      
 ,M,Antonio       ,WHU ,M,0.14 ,0.16 ,3.0,3.2 ,4.7 ,1342,7.4  ,0.3 ,-502  ,-3 ,      
 ,C,Fàbregas      ,CHE ,M,0.09 ,0.16 ,2.6,3.1 ,2.0 ,1770,6.8  ,3.0 ,-584  ,0  ,      
 ,J,Henderson     ,LIV ,M,0.17 ,0.21 ,2.9,3.1 ,1.0 ,1508,5.3  ,1.1 ,-145  ,0  ,      
 ,D,Tadic         ,SOU ,M,0.16 ,0.18 ,3.0,3.1 ,2.0 ,2112,6.2  ,1.6 ,-1319 ,-1 ,      
 ,A,Carrillo      ,WAT ,M,0.07 ,0.2  ,2.4,3.1 ,1.0 ,1517,5.5  ,0.1 ,-39   ,-1 ,      
 ,P,Obiang        ,WHU ,M,0.14 ,0.26 ,2.6,3.1 ,0.0 ,1558,4.3  ,0.8 ,-1572 ,-3 ,      
 ,J,Hendrick      ,BUR ,M,0.15 ,0.19 ,2.8,3.0 ,3.0 ,2081,5.4  ,0.2 ,-121  ,-1 ,      
 ,G,Xhaka         ,ARS ,M,0.17 ,0.17 ,2.9,2.9 ,2.7 ,2615,5.2  ,7.0 ,-5293 ,-1 ,      
 ,J,Ibe           ,BOU ,M,0.13 ,0.19 ,2.6,2.9 ,0.3 ,1604,4.7  ,1.3 ,-1873 ,-2 ,      
 ,S,March         ,BHA ,M,0.02 ,0.19 ,2.1,2.9 ,0.7 ,1608,4.8  ,0.2 ,-112  ,-1 ,      
 ,A,Lennon        ,BUR ,M,0.04 ,0.15 ,2.2,2.8 ,3.0 ,1251,5.4  ,0.1 ,-4    ,0  ,      
 ,J,McArthur      ,CRY ,M,0.14 ,0.19 ,2.6,2.8 ,2.0 ,1746,4.3  ,3.6 ,-2852 ,-1 ,      
 ,R,van La Parra  ,HUD ,M,0.08 ,0.16 ,2.4,2.8 ,5.0 ,1718,4.9  ,1.3 ,7111  ,9  ,      
 ,G,Wijnaldum     ,LIV ,M,0.06 ,0.12 ,2.4,2.8 ,0.3 ,1707,6.6  ,2.2 ,-170  ,0  ,      
 ,M,Lemina        ,SOU ,M,0.06 ,0.17 ,2.3,2.8 ,2.7 ,1490,4.8  ,0.2 ,-504  ,-4 ,      
 ,M,Phillips      ,WBA ,M,0.11 ,0.15 ,2.6,2.8 ,2.0 ,1593,5.4  ,0.5 ,509   ,2  ,      
 ,M,Noble         ,WHU ,M,0.17 ,0.15 ,2.9,2.8 ,1.7 ,1680,5.3  ,0.2 ,-721  ,-6 ,      
 ,C,Kouyaté       ,WHU ,M,0.12 ,0.16 ,2.6,2.8 ,2.3 ,2080,5.0  ,0.3 ,-532  ,-3 ,      
 ,D,Gosling       ,BOU ,M,0.08 ,0.15 ,2.4,2.7 ,3.7 ,1452,4.8  ,0.2 ,974   ,8  ,      
 ,J,Shelvey       ,NEW ,M,0.02 ,0.13 ,2.1,2.7 ,4.3 ,1552,5.2  ,0.4 ,1321  ,6  ,      
 ,T,Cleverley     ,WAT ,M,0.1  ,0.14 ,2.5,2.7 ,0.0 ,1900,5.0  ,0.4 ,-346  ,-1 ,      
 ,G,Krychowiak    ,WBA ,M,0.06 ,0.15 ,2.3,2.7 ,1.7 ,1537,4.8  ,0.2 ,-45   ,0  ,      
 ,S,Defour        ,BUR ,M,0.11 ,0.11 ,2.6,2.6 ,0.0 ,1998,5.4  ,0.3 ,-134  ,-1 ,      
 ,Y,Cabaye        ,CRY ,M,0.06 ,0.11 ,2.3,2.6 ,0.0 ,1741,5.3  ,0.2 ,-90   ,-1 ,      
 ,T,Ince          ,HUD ,M,0.07 ,0.11 ,2.4,2.6 ,1.7 ,2211,5.5  ,0.5 ,947   ,3  ,      
 ,N,Matic         ,MUN ,M,0.13 ,0.13 ,2.6,2.6 ,4.0 ,2649,4.7  ,9.0 ,-1248 ,0  ,      
 ,D,Fletcher      ,STK ,M,0.13 ,0.13 ,2.6,2.6 ,0.0 ,2110,4.7  ,0.5 ,-135  ,0  ,      
 ,T,Carroll       ,SWA ,M,0.07 ,0.14 ,2.3,2.6 ,1.3 ,2032,4.3  ,4.7 ,-13140,-5 ,      
