O,I,web_name        ,team,T,VA/M ,pt ,g ,p/g,min ,m/g,price,%   ,net_trans,1207 14
 ,I,Gueye           ,EVE ,M,-0.02,28 ,15,1.9,1279,85 ,4.8  ,0.9 ,-369     ,       
 ,P,van Aanholt     ,CRY ,D,-0.22,7  ,8 ,0.9,588 ,74 ,5.1  ,0.9 ,-414     ,       
 ,M,Alonso          ,CHE ,D,0.39 ,70 ,15,4.7,1295,86 ,6.9  ,15.8,-425     ,       
 ,R,Shawcross       ,STK ,D,0.13 ,26 ,10,2.6,900 ,90 ,4.8  ,0.9 ,-428     ,       
 ,J,Manquillo       ,NEW ,D,0.11 ,30 ,12,2.5,1080,90 ,4.4  ,1.3 ,-435     ,       
 ,J,Puncheon        ,CRY ,M,-0.17,11 ,9 ,1.2,554 ,62 ,4.6  ,0.4 ,-451     ,       
 ,H,Arter           ,BOU ,M,0.06 ,23 ,10,2.3,787 ,79 ,4.9  ,0.4 ,-487     ,       
 ,P,Mertesacker     ,ARS ,D,0.42 ,12 ,3 ,4.0,270 ,90 ,4.8  ,0.5 ,-491     ,       
 ,J,Shelvey         ,NEW ,M,-0.08,19 ,12,1.6,745 ,62 ,5.2  ,0.4 ,-530     ,       
 ,L,Lewis Cook      ,BOU ,M,-0.09,13 ,8 ,1.6,463 ,58 ,4.4  ,0.9 ,-540     ,       
 ,H,Bellerín        ,ARS ,D,0.29 ,56 ,15,3.7,1350,90 ,5.9  ,9.6 ,-550     ,       
 ,T,Ince            ,HUD ,M,0.11 ,36 ,14,2.6,1251,89 ,5.6  ,0.5 ,-563     ,       
 ,J,Ibe             ,BOU ,M,0.02 ,29 ,14,2.1,731 ,52 ,4.9  ,0.4 ,-574     ,       
 ,R,Sobhi           ,STK ,M,-0.02,19 ,10,1.9,516 ,52 ,4.6  ,0.4 ,-586     ,       
 ,M,Lanzini         ,WHU ,M,0.07 ,25 ,10,2.5,768 ,77 ,6.8  ,0.6 ,-604     ,       
 ,A,Cresswell       ,WHU ,D,0.14 ,38 ,14,2.7,1134,81 ,5.0  ,0.7 ,-608     ,       
 ,T,Fosu-Mensah     ,CRY ,D,-0.16,12 ,9 ,1.3,701 ,78 ,4.4  ,0.9 ,-658     ,       
 ,J,Defoe           ,BOU ,F,0.01 ,25 ,12,2.1,599 ,50 ,7.6  ,1.5 ,-669     ,       
 ,J,Hogg            ,HUD ,M,-0.05,16 ,9 ,1.8,645 ,72 ,4.4  ,0.4 ,-671     ,       
 ,S,Mounie          ,HUD ,F,0.07 ,24 ,10,2.4,537 ,54 ,5.7  ,0.8 ,-699     ,       
 ,E,Pieters         ,STK ,D,-0.06,25 ,15,1.7,1348,90 ,4.9  ,0.5 ,-711     ,       
 ,V,van Dijk        ,SOU ,D,0.06 ,23 ,10,2.3,813 ,81 ,5.4  ,2.0 ,-749     ,       
 ,A,Nyom            ,WBA ,D,0.18 ,35 ,12,2.9,946 ,79 ,4.9  ,1.5 ,-760     ,       
 ,S,Aurier          ,TOT ,D,-0.05,10 ,6 ,1.7,456 ,76 ,5.9  ,0.3 ,-767     ,       
 ,A,Mawson          ,SWA ,D,0.26 ,50 ,15,3.3,1350,90 ,5.0  ,1.2 ,-776     ,       
 ,J,Tomkins         ,CRY ,D,0.0  ,12 ,6 ,2.0,412 ,69 ,4.3  ,0.4 ,-778     ,       
 ,S,March           ,BHA ,M,0.06 ,34 ,15,2.3,845 ,56 ,5.0  ,0.3 ,-790     ,       
 ,G,Krychowiak      ,WBA ,M,0.12 ,26 ,10,2.6,729 ,73 ,5.0  ,0.3 ,-856     ,       
 ,J,Milner          ,LIV ,D,0.05 ,30 ,13,2.3,648 ,50 ,6.1  ,2.4 ,-897     ,       
 ,J,McArthur        ,CRY ,M,0.05 ,24 ,11,2.2,681 ,62 ,4.4  ,2.4 ,-916     ,       
x,C,Daniels         ,BOU ,D,0.32 ,54 ,15,3.6,1350,90 ,5.0  ,13.3,-960     ,       
 ,A,Pérez           ,NEW ,F,0.08 ,34 ,14,2.4,1002,72 ,5.3  ,0.9 ,-985     ,       
 ,W,Reid            ,WHU ,D,0.08 ,26 ,11,2.4,976 ,89 ,4.9  ,0.7 ,-999     ,       
 ,K,Wimmer          ,STK ,D,-0.16,12 ,9 ,1.3,712 ,79 ,4.3  ,0.4 ,-1007    ,       
