W,I,web_name        ,team,T,px ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn   ,gf ,122820
 ,C,Löwe            ,HUD ,D,4.4,67 ,0.02 ,0.16 ,2.1,2.7 ,0.3 ,0.1 ,-728  ,-12,      
 ,C,Coady           ,WOL ,D,4.5,100,0.16 ,0.16 ,2.7,2.7 ,2.5 ,0.6 ,-615  ,-2 ,      
 ,S,Morrison        ,CAR ,D,4.7,99 ,0.15 ,0.15 ,2.7,2.7 ,3.8 ,0.5 ,347   ,1  ,      
 ,R,Bennett         ,WOL ,D,4.1,95 ,0.15 ,0.15 ,2.6,2.6 ,2.0 ,10.5,-6588 ,-1 ,      
 ,P,Zabaleta        ,WHU ,D,4.3,73 ,0.14 ,0.14 ,2.6,2.6 ,2.2 ,2.6 ,-10439,-7 ,      
 ,W,Morgan          ,LEI ,D,4.5,76 ,0.13 ,0.13 ,2.6,2.6 ,3.2 ,1.1 ,5785  ,9  ,      
 ,C,Smalling        ,MUN ,D,5.6,66 ,0.13 ,0.13 ,2.7,2.7 ,0.3 ,1.4 ,-2641 ,-3 ,      
 ,C,Cathcart        ,WAT ,D,4.5,99 ,0.13 ,0.13 ,2.6,2.6 ,1.8 ,1.0 ,734   ,1  ,      
 ,A,Young           ,MUN ,D,5.7,71 ,0.09 ,0.11 ,2.5,2.6 ,2.7 ,2.0 ,-6347 ,-5 ,      
 ,D,Rice            ,WHU ,D,4.4,82 ,0.09 ,0.11 ,2.4,2.5 ,3.3 ,0.8 ,2511  ,5  ,      
 ,S,Coleman         ,EVE ,D,5.2,77 ,0.1  ,0.1  ,2.5,2.5 ,0.7 ,1.3 ,-3901 ,-5 ,      
m,L,Shaw            ,MUN ,D,4.9,73 ,0.08 ,0.08 ,2.4,2.4 ,0.7 ,5.8 ,12997 ,4  ,      
 ,B,Ecuele Manga    ,CAR ,D,4.4,100,0.07 ,0.07 ,2.3,2.3 ,2.7 ,0.1 ,197   ,3  ,      
 ,T,Kongolo         ,HUD ,D,4.3,77 ,0.05 ,0.07 ,2.2,2.3 ,2.2 ,0.3 ,-472  ,-3 ,      
 ,B,Mee             ,BUR ,D,4.7,100,0.06 ,0.06 ,2.3,2.3 ,1.8 ,1.9 ,-4026 ,-4 ,      
 ,F,Hadergjonaj     ,HUD ,D,4.4,77 ,0.02 ,0.05 ,2.1,2.2 ,1.2 ,0.1 ,-64   ,-1 ,      
 ,W,Hoedt           ,SOU ,D,4.3,68 ,0.05 ,0.05 ,2.2,2.2 ,0.0 ,0.2 ,-460  ,-4 ,      
 ,D,Yedlin          ,NEW ,D,4.5,82 ,0.02 ,0.04 ,2.1,2.2 ,-0.2,1.1 ,-3200 ,-5 ,      
m,V,Lindelöf        ,MUN ,D,4.8,74 ,0.0  ,0.02 ,2.0,2.1 ,0.8 ,1.3 ,4291  ,5  ,      
 ,I,Diop            ,WHU ,D,4.3,89 ,0.02 ,0.02 ,2.1,2.1 ,2.8 ,0.9 ,72    ,0  ,      
 ,C,Taylor          ,BUR ,D,4.4,89 ,-0.05,-0.02,1.8,1.9 ,1.8 ,0.3 ,-383  ,-2 ,      
o,C,Chambers        ,FUL ,D,4.2,56 ,-0.17,-0.1 ,1.3,1.6 ,1.8 ,0.9 ,616   ,1  ,      
 ,M,Lowton          ,BUR ,D,4.6,69 ,-0.11,-0.11,1.5,1.5 ,0.2 ,0.3 ,-1066 ,-6 ,      
 ,D,Odoi            ,FUL ,D,4.4,87 ,-0.18,-0.18,1.2,1.2 ,1.8 ,0.1 ,486   ,8  ,      
