W,I,web_name        ,team,T,VA/M ,VA/ML,p/g ,p/gl,form,min,price,%   ,txn   ,gf ,081112
 ,G,Sigurdsson      ,EVE ,M,-0.27,-0.27,0.0 ,0.0 ,0.0 ,0  ,7.5  ,2.3 ,-27   ,0  ,      
 ,M,Gabbiadini      ,SOU ,F,-0.33,-0.33,0.0 ,0.0 ,0.0 ,0  ,6.0  ,0.4 ,-27   ,0  ,      
 ,S,Prödl           ,WAT ,D,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.2 ,-27   ,0  ,      
 ,S,Davis           ,SOU ,M,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.2 ,-28   ,0  ,      
 ,O,Zinchenko       ,MCI ,M,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.1 ,-29   ,-1 ,      
 ,S,Armstrong       ,SOU ,M,-0.36,-0.36,0.0 ,0.0 ,0.0 ,0  ,5.5  ,0.3 ,-29   ,0  ,      
 ,M,Navarro         ,WAT ,D,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.1 ,-29   ,-1 ,      
 ,M,Guendouzi       ,ARS ,M,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,1.2 ,-30   ,0  ,      
 ,F,Ayité           ,FUL ,M,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.2 ,-30   ,0  ,      
 ,M,James           ,LEI ,M,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.0 ,-30   ,0.0,      
 ,A,Adrián          ,WHU ,G,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.6 ,-30   ,0  ,      
 ,S,Boufal          ,SOU ,M,-0.36,-0.36,0.0 ,0.0 ,0.0 ,0  ,5.5  ,0.0 ,-31   ,0.0,      
 ,W,Reid            ,WHU ,D,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.0 ,-31   ,0.0,      
