W,I,web_name,team,T,px,m%,VA/M,VA/ML,p/g,p/gl,form,%,txn,gf,030621
,A,Young,MUN,D,5.7,74,0.18,0.19,3.0,3.1,3.5,2.0,-1635,-1,
,L,Dunk,BHA,D,4.4,86,0.16,0.18,2.7,2.8,3.0,2.3,443,0,
,Y,Valery,SOU,D,4.0,41,0.0,0.18,2.0,2.7,4.0,0.6,6771,18,
,S,Steve Cook,BOU,D,4.4,90,0.16,0.16,2.7,2.7,0.3,5.0,-15256,-5,
,J,Bennett,CAR,D,4.4,71,0.14,0.14,2.6,2.6,1.0,0.4,-110,0,
,C,Schindler,HUD,D,4.2,97,0.1,0.14,2.4,2.6,2.3,2.4,1859,1,
,R,Bennett,WOL,D,4.2,97,0.14,0.14,2.6,2.6,2.3,10.7,-55968,-8,
,S,Mustafi,ARS,D,5.4,76,0.09,0.13,2.5,2.7,2.5,1.0,-448,-1,
,S,Morrison,CAR,D,4.7,85,0.13,0.13,2.6,2.6,0.3,0.3,-126,-1,
,B,Ecuele Manga,CAR,D,4.4,98,0.09,0.11,2.4,2.5,1.0,0.4,-633,-3,
,C,Coady,WOL,D,4.5,100,0.11,0.11,2.5,2.5,3.0,0.7,144,0,
,F,Hadergjonaj,HUD,D,4.3,67,0.05,0.09,2.2,2.4,0.5,0.1,-23,0,
,I,Diop,WHU,D,4.3,93,0.09,0.09,2.4,2.4,4.3,1.4,7909,9,
,A,Ogbonna,WHU,D,4.2,51,0.02,0.07,2.1,2.3,4.3,0.6,4878,13,
,T,Kongolo,HUD,D,4.3,76,0.02,0.05,2.1,2.2,2.5,0.2,-61,0,
,B,Mee,BUR,D,4.6,100,0.04,0.04,2.2,2.2,1.0,1.7,-969,-1,
,D,Yedlin,NEW,D,4.5,81,0.04,0.04,2.2,2.2,1.8,1.2,-2388,-3,
,J,Vestergaard,SOU,D,4.6,68,0.07,0.04,2.3,2.2,2.5,0.3,-74,0,
o,J,Bednarek,SOU,D,4.0,51,0.0,0.03,2.0,2.1,2.3,7.0,-2182,0,
,C,Taylor,BUR,D,4.4,93,0.0,0.02,2.0,2.1,1.5,0.4,-352,-1,
,C,Chambers,FUL,D,4.2,68,-0.05,0.02,1.8,2.1,2.0,0.9,620,1,
,M,Montoya,BHA,D,4.3,69,-0.02,0.0,1.9,2.0,2.3,0.2,-89,-1,
,D,Odoi,FUL,D,4.4,91,-0.16,-0.16,1.3,1.3,1.0,0.1,-42,-1,
